pair	group_type	group	quantizer	pairs	numel	changed	changed_fraction	mean_abs_bin_delta	before_near_fraction	after_near_fraction	changed_and_near_fraction	mean_scale_ratio	top1_delta
phase2s->phase2br_e3	module	features.7.1.mlp.fc2	statsq_like_weight	1	2359296	168312	0.07133992513020833	0.0713399276137352	0.3616447448730469	0.3384607136249542	0.07133737951517105	0.9996197819709778	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.7.1.mlp|mlp_fc2	statsq_like_weight	1	2359296	168312	0.07133992513020833	0.0713399276137352	0.3616447448730469	0.3384607136249542	0.07133737951517105	0.9996197819709778	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.7.1|mlp_fc2	statsq_like_weight	1	2359296	168312	0.07133992513020833	0.0713399276137352	0.3616447448730469	0.3384607136249542	0.07133737951517105	0.9996197819709778	-0.04800000000000182
phase2s->phase2br_e3	module	features.7.1.attn.proj	statsq_like_weight	1	589824	40791	0.06915791829427083	0.0691579207777977	0.3301306962966919	0.3092685341835022	0.0691019669175148	0.9998961091041565	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.7.1.attn|attn_proj	statsq_like_weight	1	589824	40791	0.06915791829427083	0.0691579207777977	0.3301306962966919	0.3092685341835022	0.0691019669175148	0.9998961091041565	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.7.1|attn_proj	statsq_like_weight	1	589824	40791	0.06915791829427083	0.0691579207777977	0.3301306962966919	0.3092685341835022	0.0691019669175148	0.9998961091041565	-0.04800000000000182
phase2s->phase2br_e3	kind	attn_proj	statsq_like_weight	2	737280	49952	0.06775173611111111	0.06775173842906952	0.31870253682136535	0.30178494453430177	0.06763508915901184	1.0000763833522797	-0.04800000000000182
phase2s->phase2br_e3	kind	mlp_fc2	statsq_like_weight	2	2949120	189102	0.06412150065104166	0.06412150263786316	0.33896891176700594	0.32031860649585725	0.0641167514026165	0.9998807609081268	-0.04800000000000182
phase2s->phase2br_e3	module	features.5.5.attn.proj	statsq_like_weight	1	147456	9161	0.062127007378472224	0.0621270090341568	0.2729898989200592	0.2718505859375	0.061767578125	1.0002566576004028	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.5.5.attn|attn_proj	statsq_like_weight	1	147456	9161	0.062127007378472224	0.0621270090341568	0.2729898989200592	0.2718505859375	0.061767578125	1.0002566576004028	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.5.5|attn_proj	statsq_like_weight	1	147456	9161	0.062127007378472224	0.0621270090341568	0.2729898989200592	0.2718505859375	0.061767578125	1.0002566576004028	-0.04800000000000182
phase2s->phase2br_e3	module	features.5.5.attn.v	statsq_like_weight	1	147456	9034	0.06126573350694445	0.0612657330930233	0.2619357705116272	0.2602945864200592	0.0606282539665699	1.0002532005310059	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.5.5.attn|attn_v	statsq_like_weight	1	147456	9034	0.06126573350694445	0.0612657330930233	0.2619357705116272	0.2602945864200592	0.0606282539665699	1.0002532005310059	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.5.5|attn_v	statsq_like_weight	1	147456	9034	0.06126573350694445	0.0612657330930233	0.2619357705116272	0.2602945864200592	0.0606282539665699	1.0002532005310059	-0.04800000000000182
phase2s->phase2br_e3	kind	attn_v	statsq_like_weight	2	737280	41420	0.05617947048611111	0.05617946907877922	0.2735975384712219	0.2767306864261627	0.0560072161257267	1.0001994967460632	-0.04800000000000182
phase2s->phase2br_e3	module	features.7.1.attn.v	statsq_like_weight	1	589824	32386	0.054907904730902776	0.0549079030752182	0.2765129804611206	0.2808397114276886	0.0548519566655159	1.0001457929611206	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.7.1.attn|attn_v	statsq_like_weight	1	589824	32386	0.054907904730902776	0.0549079030752182	0.2765129804611206	0.2808397114276886	0.0548519566655159	1.0001457929611206	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.7.1|attn_v	statsq_like_weight	1	589824	32386	0.054907904730902776	0.0549079030752182	0.2765129804611206	0.2808397114276886	0.0548519566655159	1.0001457929611206	-0.04800000000000182
phase2s->phase2br_e3	module	features.5.5.mlp.fc1	statsq_like_weight	1	589824	28597	0.048483954535590276	0.0484839528799057	0.2564680278301239	0.2581821084022522	0.0483669713139534	0.9999037384986877	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.5.5.mlp|mlp_fc1	statsq_like_weight	1	589824	28597	0.048483954535590276	0.0484839528799057	0.2564680278301239	0.2581821084022522	0.0483669713139534	0.9999037384986877	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.5.5|mlp_fc1	statsq_like_weight	1	589824	28597	0.048483954535590276	0.0484839528799057	0.2564680278301239	0.2581821084022522	0.0483669713139534	0.9999037384986877	-0.04800000000000182
phase2s->phase2br_e3	kind	mlp_fc1	statsq_like_weight	2	2949120	142349	0.048268296983506945	0.04826829731464386	0.2666347920894623	0.2717654824256897	0.04822591096162796	0.9998687505722046	-0.04800000000000182
phase2s->phase2br_e3	module	features.7.1.mlp.fc1	statsq_like_weight	1	2359296	113752	0.04821438259548611	0.0482143834233284	0.2691764831542969	0.2751613259315491	0.0481906458735466	0.9998337626457214	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.7.1.mlp|mlp_fc1	statsq_like_weight	1	2359296	113752	0.04821438259548611	0.0482143834233284	0.2691764831542969	0.2751613259315491	0.0481906458735466	0.9998337626457214	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.7.1|mlp_fc1	statsq_like_weight	1	2359296	113752	0.04821438259548611	0.0482143834233284	0.2691764831542969	0.2751613259315491	0.0481906458735466	0.9998337626457214	-0.04800000000000182
phase2s->phase2br_e3	module	features.5.5.attn	qk_statsq_composite	1	1769472	67916	0.03838207103587963	0.03838207200169563	0.2015821635723114	0.20160138607025146	0.036710385233163834	0.9988810420036316	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.5.5.attn|attn_qk_composite	qk_statsq_composite	1	1769472	67916	0.03838207103587963	0.03838207200169563	0.2015821635723114	0.20160138607025146	0.036710385233163834	0.9988810420036316	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.5.5|attn_qk_composite	qk_statsq_composite	1	1769472	67916	0.03838207103587963	0.03838207200169563	0.2015821635723114	0.20160138607025146	0.036710385233163834	0.9988810420036316	-0.04800000000000182
phase2s->phase2br_e3	module	features.5.5.mlp.fc2	statsq_like_weight	1	589824	20790	0.035247802734375	0.035247802734375	0.2482655793428421	0.2477501779794693	0.0352342389523983	1.0001417398452759	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.5.5.mlp|mlp_fc2	statsq_like_weight	1	589824	20790	0.035247802734375	0.035247802734375	0.2482655793428421	0.2477501779794693	0.0352342389523983	1.0001417398452759	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.5.5|mlp_fc2	statsq_like_weight	1	589824	20790	0.035247802734375	0.035247802734375	0.2482655793428421	0.2477501779794693	0.0352342389523983	1.0001417398452759	-0.04800000000000182
phase2s->phase2br_e3	kind	attn_qk_composite	qk_statsq_composite	2	15925248	525973	0.033027617529095936	0.03302761788169543	0.20111887653668722	0.20111046897040474	0.03226342176397642	0.9993726909160614	-0.04800000000000182
phase2s->phase2br_e3	module	features.7.1.attn	qk_statsq_composite	1	14155776	458057	0.03235831084074797	0.032358311116695404	0.2010609656572342	0.2010491043329239	0.03170755133032799	0.9998643398284912	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.7.1.attn|attn_qk_composite	qk_statsq_composite	1	14155776	458057	0.03235831084074797	0.032358311116695404	0.2010609656572342	0.2010491043329239	0.03170755133032799	0.9998643398284912	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.7.1|attn_qk_composite	qk_statsq_composite	1	14155776	458057	0.03235831084074797	0.032358311116695404	0.2010609656572342	0.2010491043329239	0.03170755133032799	0.9998643398284912	-0.04800000000000182
phase2s->phase2br_e3	module	features.5.5.attn.k	statsq_like_weight	1	147456	3544	0.024034288194444444	0.0240342877805233	0.1996053010225296	0.1997409462928772	0.02391899935901165	0.9994884133338928	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.5.5.attn|attn_k	statsq_like_weight	1	147456	3544	0.024034288194444444	0.0240342877805233	0.1996053010225296	0.1997409462928772	0.02391899935901165	0.9994884133338928	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.5.5|attn_k	statsq_like_weight	1	147456	3544	0.024034288194444444	0.0240342877805233	0.1996053010225296	0.1997409462928772	0.02391899935901165	0.9994884133338928	-0.04800000000000182
phase2s->phase2br_e3	module	features.5.5.attn.q	statsq_like_weight	1	147456	3512	0.023817274305555556	0.0238172747194767	0.1982896625995636	0.1985134482383728	0.02374945767223835	0.9995951652526855	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.5.5.attn|attn_q	statsq_like_weight	1	147456	3512	0.023817274305555556	0.0238172747194767	0.1982896625995636	0.1985134482383728	0.02374945767223835	0.9995951652526855	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.5.5|attn_q	statsq_like_weight	1	147456	3512	0.023817274305555556	0.0238172747194767	0.1982896625995636	0.1985134482383728	0.02374945767223835	0.9995951652526855	-0.04800000000000182
phase2s->phase2br_e3	kind	attn_k	statsq_like_weight	2	737280	16205	0.021979437934027776	0.02197943851351738	0.1998494416475296	0.1995090126991272	0.02193332277238369	0.9997080862522125	-0.04800000000000182
phase2s->phase2br_e3	kind	attn_q	statsq_like_weight	2	737280	16133	0.02188178168402778	0.02188178226351738	0.19991183876991273	0.200048828125	0.02185465432703495	0.9998206496238708	-0.04800000000000182
phase2s->phase2br_e3	module	features.7.1.attn.k	statsq_like_weight	1	589824	12661	0.021465725368923612	0.0214657261967659	0.1999104768037796	0.1994510293006897	0.0214369036257267	0.9999277591705322	-0.04800000000000182
phase2s->phase2br_e3	parent_kind	features.7.1.attn|attn_k	statsq_like_weight	1	589824	12661	0.021465725368923612	0.0214657261967659	0.1999104768037796	0.1994510293006897	0.0214369036257267	0.9999277591705322	-0.04800000000000182
phase2s->phase2br_e3	stage_kind	features.7.1|attn_k	statsq_like_weight	1	589824	12661	0.021465725368923612	0.0214657261967659	0.1999104768037796	0.1994510293006897	0.0214369036257267	0.9999277591705322	-0.04800000000000182
