pair	ref_conf_bin	total	ref_correct	cmp_correct	improved	regressed	net_flips	avg_true_prob_delta
full250_vs_attn250	[0.00,0.20)	1378	306	292	66	80	-14	0.0015183117939159274
full250_vs_attn250	[0.20,0.40)	4253	1584	1616	194	162	32	0.0027339060325175524
full250_vs_attn250	[0.40,0.60)	6660	3795	3795	95	95	0	0.0016947290860116482
full250_vs_attn250	[0.60,0.80)	9278	7244	7244	0	0	0	-0.0006598845357075334
full250_vs_attn250	[0.80,0.90)	15362	14505	14505	0	0	0	-0.0006476172711700201
full250_vs_attn250	[0.90,0.95)	10969	10737	10737	0	0	0	-0.0019094478338956833
full250_vs_attn250	[0.95,0.99)	2042	2002	2002	0	0	0	-0.0016333302482962608
full250_vs_attn250	[0.99,1.01)	58	56	56	0	0	0	-0.0006287038559094071
