pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
full250_vs_attn250	755	50	47	46	-1	94.0	92.0	-0.011167406104505062	-0.072262704372406
full250_vs_attn250	509	50	33	32	-1	66.0	64.0	-0.010897998698055744	0.06442993879318237
full250_vs_attn250	414	50	22	21	-1	44.0	42.0	-0.01068544015288353	-0.08488395810127258
full250_vs_attn250	2	50	42	41	-1	84.0	82.0	-0.01058630459010601	-0.01705089583992958
full250_vs_attn250	750	50	37	36	-1	74.0	72.0	-0.010331003926694393	0.0008432578761130571
full250_vs_attn250	474	50	39	38	-1	78.0	76.0	-0.010092480108141899	-0.06197360157966614
full250_vs_attn250	484	50	35	34	-1	70.0	68.0	-0.010070773772895336	-0.020634736865758896
full250_vs_attn250	553	50	42	41	-1	84.0	82.0	-0.009969009086489677	-0.055335093289613724
full250_vs_attn250	953	50	49	48	-1	98.0	96.0	-0.009894988499581814	-0.04055410251021385
full250_vs_attn250	192	50	43	42	-1	86.0	84.0	-0.009782273322343826	-0.05332419276237488
full250_vs_attn250	812	50	49	48	-1	98.0	96.0	-0.009707983583211899	-0.10336007177829742
full250_vs_attn250	93	50	49	48	-1	98.0	96.0	-0.00916315522044897	-0.03516334667801857
full250_vs_attn250	49	50	41	40	-1	82.0	80.0	-0.008585276082158089	-0.07508771121501923
full250_vs_attn250	690	50	47	46	-1	94.0	92.0	-0.008508238941431046	-0.02240448072552681
full250_vs_attn250	759	50	42	41	-1	84.0	82.0	-0.00820019468665123	-0.03937208279967308
full250_vs_attn250	903	50	46	45	-1	92.0	90.0	-0.00766587071120739	-0.013696947135031223
full250_vs_attn250	526	50	33	32	-1	66.0	64.0	-0.007662397809326649	-0.015767574310302734
full250_vs_attn250	952	50	47	46	-1	94.0	92.0	-0.007635433226823807	-0.039329081773757935
full250_vs_attn250	635	50	33	32	-1	66.0	64.0	-0.007576857227832079	0.0074505615048110485
full250_vs_attn250	345	50	33	32	-1	66.0	64.0	-0.0075502097606658936	-0.02187526784837246
full250_vs_attn250	426	50	46	45	-1	92.0	90.0	-0.0075257015414536	-0.02682141214609146
full250_vs_attn250	909	50	32	31	-1	64.0	62.0	-0.007446168456226587	-0.012363024055957794
full250_vs_attn250	757	50	44	43	-1	88.0	86.0	-0.0071507110260427	0.0023916340433061123
full250_vs_attn250	272	50	32	31	-1	64.0	62.0	-0.007105372380465269	-0.05288490280508995
full250_vs_attn250	68	50	15	14	-1	30.0	28.0	-0.00707180006429553	-0.03218910098075867
full250_vs_attn250	732	50	43	42	-1	86.0	84.0	-0.006804296281188726	-0.030738668516278267
full250_vs_attn250	149	50	45	44	-1	90.0	88.0	-0.006745276506990194	-0.06372860819101334
full250_vs_attn250	794	50	37	36	-1	74.0	72.0	-0.0066534243524074554	-0.0014814090682193637
full250_vs_attn250	631	50	32	31	-1	64.0	62.0	-0.0064632948487997055	0.03639741986989975
full250_vs_attn250	101	50	36	35	-1	72.0	70.0	-0.006431011017411947	0.003832530928775668
full250_vs_attn250	137	50	44	43	-1	88.0	86.0	-0.006354572717100382	0.018208999186754227
full250_vs_attn250	908	50	33	32	-1	66.0	64.0	-0.006338953971862793	-0.053584594279527664
full250_vs_attn250	796	50	41	40	-1	82.0	80.0	-0.006309570744633675	-0.018645066767930984
full250_vs_attn250	163	50	30	29	-1	60.0	58.0	-0.006295213010162115	-0.049162980169057846
full250_vs_attn250	862	50	41	40	-1	82.0	80.0	-0.005996279884129763	-0.05837395787239075
full250_vs_attn250	711	50	39	38	-1	78.0	76.0	-0.005934375338256359	-0.00023262976901605725
full250_vs_attn250	478	50	29	28	-1	58.0	56.0	-0.0058691781014204025	-0.013876419514417648
full250_vs_attn250	225	50	47	46	-1	94.0	92.0	-0.0055479188449680805	-0.027767572551965714
full250_vs_attn250	134	50	39	38	-1	78.0	76.0	-0.005456802900880575	-0.05262524634599686
full250_vs_attn250	468	50	37	36	-1	74.0	72.0	-0.004964631050825119	-0.01323709450662136
full250_vs_attn250	840	50	46	45	-1	92.0	90.0	-0.004931365139782429	-0.021697960793972015
full250_vs_attn250	658	50	37	36	-1	74.0	72.0	-0.004860615357756615	-0.019797267392277718
full250_vs_attn250	997	50	39	38	-1	78.0	76.0	-0.004810818936675787	0.02436339296400547
full250_vs_attn250	194	50	43	42	-1	86.0	84.0	-0.0043936483561992645	-0.03071126900613308
full250_vs_attn250	971	50	45	44	-1	90.0	88.0	-0.004269403405487537	-0.09421106427907944
full250_vs_attn250	370	50	44	43	-1	88.0	86.0	-0.004262225236743689	-0.09588060528039932
full250_vs_attn250	79	50	42	41	-1	84.0	82.0	-0.0041626752354204655	0.022659482434391975
full250_vs_attn250	264	50	35	34	-1	70.0	68.0	-0.0040804180316627026	-0.004509887658059597
full250_vs_attn250	609	50	39	38	-1	78.0	76.0	-0.004050031304359436	0.0425192266702652
full250_vs_attn250	383	50	34	33	-1	68.0	66.0	-0.004046504385769367	0.01389424316585064
full250_vs_attn250	132	50	47	46	-1	94.0	92.0	-0.004027944058179855	-0.03282255306839943
full250_vs_attn250	419	50	44	43	-1	88.0	86.0	-0.004025041591376066	-0.0071935271844267845
full250_vs_attn250	347	50	46	45	-1	92.0	90.0	-0.004016557242721319	-0.004518852103501558
full250_vs_attn250	530	50	34	33	-1	68.0	66.0	-0.003841244848445058	-0.0043531800620257854
full250_vs_attn250	287	50	39	38	-1	78.0	76.0	-0.0036906085442751646	-0.004631957970559597
full250_vs_attn250	879	50	40	39	-1	80.0	78.0	-0.003636108711361885	-0.03136967495083809
full250_vs_attn250	467	50	43	42	-1	86.0	84.0	-0.0035927575081586838	-0.036025188863277435
full250_vs_attn250	390	50	35	34	-1	70.0	68.0	-0.0035599416587501764	-0.046061381697654724
full250_vs_attn250	202	50	41	40	-1	82.0	80.0	-0.003520194673910737	0.003726310795173049
full250_vs_attn250	774	50	41	40	-1	82.0	80.0	-0.0034829797223210335	-0.015555363148450851
full250_vs_attn250	40	50	34	33	-1	68.0	66.0	-0.0033511552028357983	0.007248792797327042
full250_vs_attn250	977	50	32	31	-1	64.0	62.0	-0.003244331106543541	-0.035032883286476135
full250_vs_attn250	918	50	46	45	-1	92.0	90.0	-0.0030698743648827076	-0.029760293662548065
full250_vs_attn250	967	50	36	35	-1	72.0	70.0	-0.003035563277080655	-0.008233537897467613
full250_vs_attn250	250	50	36	35	-1	72.0	70.0	-0.002923519816249609	-0.01556379348039627
full250_vs_attn250	854	50	45	44	-1	90.0	88.0	-0.002864173147827387	-0.011095914989709854
full250_vs_attn250	341	50	31	30	-1	62.0	60.0	-0.0027882533613592386	-0.007241106126457453
full250_vs_attn250	97	50	48	47	-1	96.0	94.0	-0.0027777128852903843	-0.0453714095056057
full250_vs_attn250	133	50	49	48	-1	98.0	96.0	-0.0027580291498452425	0.03209696710109711
full250_vs_attn250	670	50	46	45	-1	92.0	90.0	-0.0026605897583067417	-0.009247674606740475
