pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
continuous_vs_candidate	611	50	49	47	-2	98.0	94.0	-0.019914692267775536	-0.07348576188087463
continuous_vs_candidate	91	50	48	46	-2	96.0	92.0	-0.018429161980748177	-0.10697352141141891
continuous_vs_candidate	514	50	41	39	-2	82.0	78.0	-0.018076831474900246	-0.16097131371498108
continuous_vs_candidate	386	50	34	32	-2	68.0	64.0	-0.017782460898160934	-0.044728681445121765
continuous_vs_candidate	729	50	34	32	-2	68.0	64.0	-0.017692189663648605	-0.21450287103652954
continuous_vs_candidate	987	50	23	21	-2	46.0	42.0	-0.01705341786146164	-0.015275183133780956
continuous_vs_candidate	399	50	45	43	-2	90.0	86.0	-0.016827911138534546	-0.05047406256198883
continuous_vs_candidate	845	50	36	34	-2	72.0	68.0	-0.016735995188355446	0.007139883004128933
continuous_vs_candidate	756	50	41	39	-2	82.0	78.0	-0.0158468596637249	-0.0587238110601902
continuous_vs_candidate	238	50	36	34	-2	72.0	68.0	-0.014584825374186039	0.10208041965961456
continuous_vs_candidate	831	50	43	41	-2	86.0	82.0	-0.01407651323825121	0.0059259128756821156
continuous_vs_candidate	202	50	40	38	-2	80.0	76.0	-0.013786163181066513	-0.15060870349407196
continuous_vs_candidate	710	50	37	35	-2	74.0	70.0	-0.013760286383330822	-0.1521996259689331
continuous_vs_candidate	640	50	50	48	-2	100.0	96.0	-0.013606658205389977	-0.10414063185453415
continuous_vs_candidate	287	50	39	37	-2	78.0	74.0	-0.013233725912868977	0.042024318128824234
continuous_vs_candidate	108	50	35	33	-2	70.0	66.0	-0.01308564655482769	-0.081387959420681
continuous_vs_candidate	895	50	44	42	-2	88.0	84.0	-0.011907023377716541	0.027440480887889862
continuous_vs_candidate	813	50	23	21	-2	46.0	42.0	-0.01179923303425312	-0.13947032392024994
continuous_vs_candidate	63	50	45	43	-2	90.0	86.0	-0.011201581917703152	-0.03161701187491417
continuous_vs_candidate	999	50	28	26	-2	56.0	52.0	-0.010427283123135567	0.019907627254724503
continuous_vs_candidate	880	50	49	47	-2	98.0	94.0	-0.00998198427259922	0.06899210065603256
continuous_vs_candidate	648	50	33	31	-2	66.0	62.0	-0.009914647787809372	-0.10711414366960526
continuous_vs_candidate	849	50	44	42	-2	88.0	84.0	-0.009892208501696587	-0.053827036172151566
continuous_vs_candidate	42	50	44	42	-2	88.0	84.0	-0.009533071890473366	-0.1107935905456543
continuous_vs_candidate	58	50	43	41	-2	86.0	82.0	-0.009470617398619652	0.12930861115455627
continuous_vs_candidate	585	50	26	24	-2	52.0	48.0	-0.008973642252385616	-0.16851112246513367
continuous_vs_candidate	664	50	21	19	-2	42.0	38.0	-0.008969993330538273	-0.08063938468694687
continuous_vs_candidate	734	50	45	43	-2	90.0	86.0	-0.007955015636980534	-0.06759853661060333
continuous_vs_candidate	441	50	41	39	-2	82.0	78.0	-0.007841929793357849	-0.060635242611169815
continuous_vs_candidate	660	50	37	35	-2	74.0	70.0	-0.007290896959602833	-0.07626717537641525
continuous_vs_candidate	681	50	15	13	-2	30.0	26.0	-0.007219304330646992	0.04983728379011154
continuous_vs_candidate	167	50	19	17	-2	38.0	34.0	-0.006100416649132967	0.06112053990364075
continuous_vs_candidate	422	50	32	30	-2	64.0	60.0	-0.005774855613708496	0.05942823737859726
continuous_vs_candidate	537	50	48	46	-2	96.0	92.0	-0.005303135607391596	-0.024206047877669334
continuous_vs_candidate	295	50	46	44	-2	92.0	88.0	-0.00503575848415494	0.03199407458305359
continuous_vs_candidate	335	50	49	47	-2	98.0	94.0	-0.004104715771973133	-0.10970477014780045
continuous_vs_candidate	588	50	39	37	-2	78.0	74.0	-0.003080839291214943	-0.1465744525194168
continuous_vs_candidate	922	50	45	43	-2	90.0	86.0	-0.003063269890844822	-0.05895159766077995
continuous_vs_candidate	804	50	35	33	-2	70.0	66.0	-0.003054959699511528	-0.17199476063251495
continuous_vs_candidate	142	50	46	44	-2	92.0	88.0	-0.0024491827934980392	0.26216796040534973
continuous_vs_candidate	549	50	30	28	-2	60.0	56.0	-0.0012137576704844832	0.017083892598748207
continuous_vs_candidate	966	50	34	32	-2	68.0	64.0	-0.00052262021927163	-0.031028013676404953
continuous_vs_candidate	889	50	37	35	-2	74.0	70.0	-0.000328380468999967	-0.018080998212099075
continuous_vs_candidate	791	50	41	39	-2	82.0	78.0	0.00041719942237250507	-0.07676726579666138
continuous_vs_candidate	954	50	45	43	-2	90.0	86.0	0.0009271001908928156	0.11192876845598221
continuous_vs_candidate	558	50	24	22	-2	48.0	44.0	0.0010971154551953077	0.11203337460756302
continuous_vs_candidate	68	50	19	17	-2	38.0	34.0	0.00126570463180542	-0.05801771208643913
continuous_vs_candidate	74	50	32	30	-2	64.0	60.0	0.0014059689128771424	0.05147893726825714
continuous_vs_candidate	266	50	33	31	-2	66.0	62.0	0.0021781092509627342	0.08607996255159378
continuous_vs_candidate	196	50	38	36	-2	76.0	72.0	0.0022391006350517273	0.10445529222488403
continuous_vs_candidate	367	50	45	43	-2	90.0	86.0	0.0023863099049776793	0.19650256633758545
continuous_vs_candidate	521	50	45	43	-2	90.0	86.0	0.003401291323825717	0.06115986034274101
continuous_vs_candidate	722	50	45	43	-2	90.0	86.0	0.0038094136398285627	0.11366932839155197
continuous_vs_candidate	346	50	47	45	-2	94.0	90.0	0.004118302837014198	0.08016350120306015
continuous_vs_candidate	752	50	43	41	-2	86.0	82.0	0.004172968678176403	0.08130007982254028
continuous_vs_candidate	354	50	48	46	-2	96.0	92.0	0.005874286871403456	0.24177004396915436
continuous_vs_candidate	896	50	44	42	-2	88.0	84.0	0.006837868597358465	0.011822538450360298
continuous_vs_candidate	815	50	37	35	-2	74.0	70.0	0.008353126235306263	-0.06304877251386642
continuous_vs_candidate	881	50	42	40	-2	84.0	80.0	0.00933042075484991	0.10114414989948273
continuous_vs_candidate	799	50	26	24	-2	52.0	48.0	0.009668078273534775	-0.04495145007967949
continuous_vs_candidate	59	50	35	33	-2	70.0	66.0	0.016611216589808464	0.13672278821468353
continuous_vs_candidate	252	50	43	41	-2	86.0	82.0	0.016755923628807068	0.21995674073696136
continuous_vs_candidate	671	50	41	39	-2	82.0	78.0	0.020374909043312073	0.04156412184238434
