pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
phase2w_vs_phase2s	473	50	40	39	-1	80.0	78.0	-0.015092041343450546	-0.10004203766584396
phase2w_vs_phase2s	35	50	36	35	-1	72.0	70.0	-0.014891398139297962	-0.0637444481253624
phase2w_vs_phase2s	707	50	44	43	-1	88.0	86.0	-0.01414494775235653	-0.10958167910575867
phase2w_vs_phase2s	887	50	35	34	-1	70.0	68.0	-0.014019816182553768	-0.043981801718473434
phase2w_vs_phase2s	909	50	33	32	-1	66.0	64.0	-0.012609783560037613	-0.00023012161545921117
phase2w_vs_phase2s	542	50	37	36	-1	74.0	72.0	-0.012391413561999798	-0.06753093749284744
phase2w_vs_phase2s	40	50	34	33	-1	68.0	66.0	-0.012297234497964382	-0.03767316788434982
phase2w_vs_phase2s	762	50	27	26	-1	54.0	52.0	-0.011950578540563583	-0.015539417043328285
phase2w_vs_phase2s	677	50	37	36	-1	74.0	72.0	-0.011919870041310787	0.0072691249661147594
phase2w_vs_phase2s	830	50	34	33	-1	68.0	66.0	-0.011797460727393627	-0.05076809972524643
phase2w_vs_phase2s	983	50	47	46	-1	94.0	92.0	-0.011776468716561794	-0.007539338897913694
phase2w_vs_phase2s	423	50	36	35	-1	72.0	70.0	-0.011770573444664478	-0.00787375494837761
phase2w_vs_phase2s	541	50	28	27	-1	56.0	54.0	-0.011655908077955246	-0.025679606944322586
phase2w_vs_phase2s	282	50	14	13	-1	28.0	26.0	-0.01145894080400467	0.0025127315893769264
phase2w_vs_phase2s	749	50	45	44	-1	90.0	88.0	-0.011246266774833202	0.03311986103653908
phase2w_vs_phase2s	799	50	27	26	-1	54.0	52.0	-0.011153562925755978	-0.026694193482398987
phase2w_vs_phase2s	522	50	48	47	-1	96.0	94.0	-0.011015478521585464	-0.05435912311077118
phase2w_vs_phase2s	840	50	45	44	-1	90.0	88.0	-0.01058223471045494	-0.06014367938041687
phase2w_vs_phase2s	724	50	43	42	-1	86.0	84.0	-0.01051119901239872	-0.016417454928159714
