pair	ref_conf_bin	total	ref_correct	cmp_correct	improved	regressed	net_flips	avg_true_prob_delta
localref06_vs_phase2cx	[0.00,0.20)	1273	247	275	128	100	28	0.01493549719452858
localref06_vs_phase2cx	[0.20,0.40)	4182	1512	1496	392	408	-16	0.01071922853589058
localref06_vs_phase2cx	[0.40,0.60)	6485	3537	3507	362	392	-30	0.003023929428309202
localref06_vs_phase2cx	[0.60,0.80)	8867	6833	6809	46	70	-24	-0.007863307371735573
localref06_vs_phase2cx	[0.80,0.90)	14759	13839	13832	0	7	-7	-0.00647317711263895
localref06_vs_phase2cx	[0.90,0.95)	11837	11559	11559	0	0	0	-0.008495994843542576
localref06_vs_phase2cx	[0.95,0.99)	2520	2469	2469	0	0	0	-0.009758543223142624
localref06_vs_phase2cx	[0.99,1.01)	77	76	76	0	0	0	-0.004696317948400974
