timestamp	checkpoint	loss	acc1	acc5	samples	delta_vs_80.5980	delta_vs_scheme_c_80.6820	delta_vs_original10to60_80.7240	delta_vs_original10to110_80.7520	delta_vs_dynamic10to110_80.7600	status
2026-07-13T15:39:23Z	checkpoint-46	0.8383	80.5480	95.3300	50000	-0.0500	-0.1340	-0.1760	-0.2040	-0.2120	below_baseline
2026-07-13T15:39:23Z	checkpoint-47	0.8349	80.5060	95.3840	50000	-0.0920	-0.1760	-0.2180	-0.2460	-0.2540	below_baseline
2026-07-13T15:39:23Z	checkpoint-48	0.8357	80.5520	95.3520	50000	-0.0460	-0.1300	-0.1720	-0.2000	-0.2080	below_baseline
2026-07-13T15:39:23Z	checkpoint-49	0.8371	80.5280	95.3300	50000	-0.0700	-0.1540	-0.1960	-0.2240	-0.2320	below_baseline
2026-07-13T15:39:23Z	checkpoint-50	0.8352	80.5080	95.3280	50000	-0.0900	-0.1740	-0.2160	-0.2440	-0.2520	below_baseline
2026-07-13T15:39:23Z	checkpoint-51	0.8326	80.4500	95.3800	50000	-0.1480	-0.2320	-0.2740	-0.3020	-0.3100	below_baseline
2026-07-13T15:39:23Z	checkpoint-52	0.8401	80.3860	95.3440	50000	-0.2120	-0.2960	-0.3380	-0.3660	-0.3740	below_baseline
2026-07-13T15:39:23Z	checkpoint-53	0.8389	80.4860	95.3340	50000	-0.1120	-0.1960	-0.2380	-0.2660	-0.2740	below_baseline
2026-07-13T15:39:23Z	checkpoint-54	0.8336	80.4780	95.3960	50000	-0.1200	-0.2040	-0.2460	-0.2740	-0.2820	below_baseline
2026-07-13T15:39:23Z	checkpoint-55	0.8365	80.5020	95.3840	50000	-0.0960	-0.1800	-0.2220	-0.2500	-0.2580	below_baseline
2026-07-13T15:39:23Z	checkpoint-56	0.8371	80.5900	95.3100	50000	-0.0080	-0.0920	-0.1340	-0.1620	-0.1700	below_baseline
2026-07-13T15:39:23Z	checkpoint-57	0.8398	80.5220	95.3560	50000	-0.0760	-0.1600	-0.2020	-0.2300	-0.2380	below_baseline
2026-07-13T15:39:23Z	checkpoint-58	0.8367	80.5220	95.2880	50000	-0.0760	-0.1600	-0.2020	-0.2300	-0.2380	below_baseline
2026-07-13T15:39:23Z	checkpoint-59	0.8340	80.6220	95.3420	50000	0.0240	-0.0600	-0.1020	-0.1300	-0.1380	above_baseline
2026-07-13T15:39:23Z	checkpoint-60	0.8381	80.5360	95.3480	50000	-0.0620	-0.1460	-0.1880	-0.2160	-0.2240	below_baseline
2026-07-13T15:39:23Z	checkpoint-61	0.8322	80.6360	95.4420	50000	0.0380	-0.0460	-0.0880	-0.1160	-0.1240	above_baseline
2026-07-13T15:39:23Z	checkpoint-62	0.8381	80.5480	95.3720	50000	-0.0500	-0.1340	-0.1760	-0.2040	-0.2120	below_baseline
2026-07-13T15:39:23Z	checkpoint-63	0.8328	80.5280	95.4700	50000	-0.0700	-0.1540	-0.1960	-0.2240	-0.2320	below_baseline
2026-07-13T15:39:23Z	checkpoint-64	0.8338	80.5500	95.4100	50000	-0.0480	-0.1320	-0.1740	-0.2020	-0.2100	below_baseline
2026-07-13T15:39:23Z	checkpoint-65	0.8344	80.5740	95.3280	50000	-0.0240	-0.1080	-0.1500	-0.1780	-0.1860	below_baseline
2026-07-13T15:39:23Z	checkpoint-66	0.8342	80.5980	95.3500	50000	0.0000	-0.0840	-0.1260	-0.1540	-0.1620	below_baseline
2026-07-13T15:39:23Z	checkpoint-67	0.8320	80.6140	95.4040	50000	0.0160	-0.0680	-0.1100	-0.1380	-0.1460	above_baseline
2026-07-13T15:39:23Z	checkpoint-68	0.8356	80.5600	95.3720	50000	-0.0380	-0.1220	-0.1640	-0.1920	-0.2000	below_baseline
2026-07-13T15:39:23Z	checkpoint-69	0.8388	80.5440	95.3740	50000	-0.0540	-0.1380	-0.1800	-0.2080	-0.2160	below_baseline
2026-07-13T15:39:23Z	checkpoint-70	0.8329	80.5440	95.3600	50000	-0.0540	-0.1380	-0.1800	-0.2080	-0.2160	below_baseline
2026-07-13T15:39:23Z	checkpoint-71	0.8326	80.6240	95.3800	50000	0.0260	-0.0580	-0.1000	-0.1280	-0.1360	above_baseline
2026-07-13T15:39:23Z	checkpoint-72	0.8311	80.6940	95.3340	50000	0.0960	0.0120	-0.0300	-0.0580	-0.0660	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-73	0.8362	80.5820	95.3760	50000	-0.0160	-0.1000	-0.1420	-0.1700	-0.1780	below_baseline
2026-07-13T15:39:23Z	checkpoint-74	0.8352	80.6360	95.3700	50000	0.0380	-0.0460	-0.0880	-0.1160	-0.1240	above_baseline
2026-07-13T15:39:23Z	checkpoint-75	0.8350	80.5060	95.3600	50000	-0.0920	-0.1760	-0.2180	-0.2460	-0.2540	below_baseline
2026-07-13T15:39:23Z	checkpoint-76	0.8353	80.6180	95.3520	50000	0.0200	-0.0640	-0.1060	-0.1340	-0.1420	above_baseline
2026-07-13T15:39:23Z	checkpoint-77	0.8317	80.5840	95.3980	50000	-0.0140	-0.0980	-0.1400	-0.1680	-0.1760	below_baseline
2026-07-13T15:39:23Z	checkpoint-78	0.8352	80.5700	95.3500	50000	-0.0280	-0.1120	-0.1540	-0.1820	-0.1900	below_baseline
2026-07-13T15:39:23Z	checkpoint-79	0.8340	80.7080	95.3680	50000	0.1100	0.0260	-0.0160	-0.0440	-0.0520	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-80	0.8302	80.5840	95.3680	50000	-0.0140	-0.0980	-0.1400	-0.1680	-0.1760	below_baseline
2026-07-13T15:39:23Z	checkpoint-81	0.8339	80.5300	95.3340	50000	-0.0680	-0.1520	-0.1940	-0.2220	-0.2300	below_baseline
2026-07-13T15:39:23Z	checkpoint-82	0.8361	80.5400	95.3900	50000	-0.0580	-0.1420	-0.1840	-0.2120	-0.2200	below_baseline
2026-07-13T15:39:23Z	checkpoint-83	0.8319	80.5420	95.3440	50000	-0.0560	-0.1400	-0.1820	-0.2100	-0.2180	below_baseline
2026-07-13T15:39:23Z	checkpoint-84	0.8303	80.5960	95.3840	50000	-0.0020	-0.0860	-0.1280	-0.1560	-0.1640	below_baseline
2026-07-13T15:39:23Z	checkpoint-85	0.8346	80.4440	95.4020	50000	-0.1540	-0.2380	-0.2800	-0.3080	-0.3160	below_baseline
2026-07-13T15:39:23Z	checkpoint-86	0.8339	80.6240	95.3500	50000	0.0260	-0.0580	-0.1000	-0.1280	-0.1360	above_baseline
2026-07-13T15:39:23Z	checkpoint-87	0.8312	80.5420	95.4280	50000	-0.0560	-0.1400	-0.1820	-0.2100	-0.2180	below_baseline
2026-07-13T15:39:23Z	checkpoint-88	0.8362	80.6500	95.3760	50000	0.0520	-0.0320	-0.0740	-0.1020	-0.1100	above_baseline
2026-07-13T15:39:23Z	checkpoint-89	0.8294	80.5860	95.3920	50000	-0.0120	-0.0960	-0.1380	-0.1660	-0.1740	below_baseline
2026-07-13T15:39:23Z	checkpoint-90	0.8323	80.7000	95.3960	50000	0.1020	0.0180	-0.0240	-0.0520	-0.0600	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-91	0.8371	80.5300	95.3880	50000	-0.0680	-0.1520	-0.1940	-0.2220	-0.2300	below_baseline
2026-07-13T15:39:23Z	checkpoint-92	0.8341	80.5440	95.3620	50000	-0.0540	-0.1380	-0.1800	-0.2080	-0.2160	below_baseline
2026-07-13T15:39:23Z	checkpoint-93	0.8314	80.6780	95.4180	50000	0.0800	-0.0040	-0.0460	-0.0740	-0.0820	above_baseline
2026-07-13T15:39:23Z	checkpoint-94	0.8326	80.4660	95.3860	50000	-0.1320	-0.2160	-0.2580	-0.2860	-0.2940	below_baseline
2026-07-13T15:39:23Z	checkpoint-95	0.8340	80.6220	95.3520	50000	0.0240	-0.0600	-0.1020	-0.1300	-0.1380	above_baseline
2026-07-13T15:39:23Z	checkpoint-96	0.8315	80.5480	95.4420	50000	-0.0500	-0.1340	-0.1760	-0.2040	-0.2120	below_baseline
2026-07-13T15:39:23Z	checkpoint-97	0.8356	80.6500	95.3300	50000	0.0520	-0.0320	-0.0740	-0.1020	-0.1100	above_baseline
2026-07-13T15:39:23Z	checkpoint-98	0.8336	80.6920	95.4140	50000	0.0940	0.0100	-0.0320	-0.0600	-0.0680	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-99	0.8294	80.8280	95.4240	50000	0.2300	0.1460	0.1040	0.0760	0.0680	above_dynamic10to110_best
2026-07-13T15:39:23Z	checkpoint-100	0.8354	80.6200	95.3900	50000	0.0220	-0.0620	-0.1040	-0.1320	-0.1400	above_baseline
2026-07-13T15:39:23Z	checkpoint-101	0.8268	80.6000	95.4080	50000	0.0020	-0.0820	-0.1240	-0.1520	-0.1600	above_baseline
2026-07-13T15:39:23Z	checkpoint-102	0.8311	80.5780	95.3780	50000	-0.0200	-0.1040	-0.1460	-0.1740	-0.1820	below_baseline
2026-07-13T15:39:23Z	checkpoint-103	0.8307	80.5800	95.3880	50000	-0.0180	-0.1020	-0.1440	-0.1720	-0.1800	below_baseline
2026-07-13T15:39:23Z	checkpoint-104	0.8392	80.6320	95.3980	50000	0.0340	-0.0500	-0.0920	-0.1200	-0.1280	above_baseline
2026-07-13T15:39:23Z	checkpoint-105	0.8325	80.6700	95.3740	50000	0.0720	-0.0120	-0.0540	-0.0820	-0.0900	above_baseline
2026-07-13T15:39:23Z	checkpoint-106	0.8326	80.5940	95.3680	50000	-0.0040	-0.0880	-0.1300	-0.1580	-0.1660	below_baseline
