epoch	phase	top1	top5	samples	rolling_best	drop	applied_head	applied_weight	applied_spike_score	next_head	next_weight	next_spike_score	triggered	reason	prior_source	cooldown_state	window_pulses
38	observe	80.5500	95.3240	50000	80.6060	0.0560		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
39	observe	80.3220	95.3000	50000	80.6060	0.2840		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
40	observe	80.5960	95.3820	50000	80.6060	0.0100		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
41	observe	80.4560	95.3860	50000	80.6060	0.1500		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
42	observe	80.5860	95.3480	50000	80.6060	0.0200		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
43	observe	80.5680	95.3100	50000	80.6060	0.0380		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
44	observe	80.5120	95.3420	50000	80.6060	0.0940		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
45	observe	80.5480	95.3300	50000	80.6060	0.0580		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
46	observe	80.5060	95.3840	50000	80.6060	0.1000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
47	observe	80.5520	95.3520	50000	80.6060	0.0540		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
48	observe	80.5280	95.3300	50000	80.6060	0.0780		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
49	observe	80.5080	95.3280	50000	80.6060	0.0980		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
50	observe	80.4500	95.3800	50000	80.6060	0.1560		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
51	observe	80.3860	95.3440	50000	80.6060	0.2200		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
52	observe	80.4860	95.3340	50000	80.6060	0.1200		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
53	observe	80.4780	95.3960	50000	80.6060	0.1280		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
54	observe	80.5020	95.3840	50000	80.6060	0.1040		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
55	observe	80.5900	95.3100	50000	80.6060	0.0160		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
56	observe	80.5220	95.3560	50000	80.6060	0.0840		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
57	observe	80.5220	95.2880	50000	80.6060	0.0840		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
58	observe	80.6220	95.3420	50000	80.6220	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
59	observe	80.5360	95.3480	50000	80.6220	0.0860		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
60	observe	80.6360	95.4420	50000	80.6360	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
61	observe	80.5480	95.3720	50000	80.6360	0.0880		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
62	observe	80.5280	95.4700	50000	80.6360	0.1080		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
63	observe	80.5500	95.4100	50000	80.6360	0.0860		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
