case	checkpoint	quantizer	all_positive	bit	channels	clip_excess_max	clip_excess_mean	clip_rate	input_abs_max	input_abs_mean	normalized_max	normalized_p95	normalized_p99	quant_abs_error_mean	quant_abs_error_p99	scale_max	scale_mean	scale_min	target_ratio_0p999_max	target_ratio_0p999_mean	target_ratio_0p999_min	target_ratio_0p99_max	target_ratio_0p99_mean	target_ratio_0p99_min	tokens
phase1f_ckpt2	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.5.5.attn.quan_a_qkx_fn	0.0	4.0	588.0	2.262355327606201	0.002175848523620516	0.013179104309529066	3.2487950921058655	0.29179083555936813	3.559189260005951	0.751028910279274	1.0501751601696014	0.03761078231036663	0.08353837206959724	0.18640188872814178	0.14344972372055054	0.0616866871714592	2.259085714817047	1.3653555512428284	1.0162194669246674	1.633462905883789	1.0087199807167053	0.7472596317529678	57802752.0
phase1f_ckpt2	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.7.1.attn.quant_x_4_qkv.input_quant_fn	0.0	4.0	49.0	2.337114691734314	0.0026542394189164042	0.005864980164915323	3.694191575050354	0.27059899270534515	3.3891652822494507	0.5710273236036301	0.9226610213518143	0.05110794957727194	0.10438940115272999	0.21336877346038818	0.19581305980682373	0.1388930380344391	3.2732720971107483	1.7019055783748627	1.3577969074249268	1.0124378949403763	0.8578694015741348	0.7334793210029602	2408448.0
phase1f_ckpt2	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.5.5.attn.quan_a_v_fn	0.0	4.0	384.0	3.2054656744003296	0.0019266958406660706	0.005666460143402219	5.3878079652786255	0.5192110538482666	2.507598578929901	0.6636618226766586	0.9227482080459595	0.07586999982595444	0.15978499501943588	0.3654082119464874	0.29728323221206665	0.1956092268228531	2.2469029426574707	1.1588267385959625	0.8885898590087891	2.0736647844314575	0.8823406994342804	0.6552584618330002	4816896.0
phase1f_ckpt2	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.5.5.mlp.fc1.input_quant_fn	0.0	4.0	14.0	6.401845932006836	0.007761268178001046	0.005310266162268817	10.021577596664429	0.7913078516721725	2.782979428768158	0.5409166216850281	0.7419080138206482	0.13675425946712494	0.25748205184936523	0.5322318077087402	0.5187685489654541	0.503474235534668	1.948493778705597	1.7497658431529999	1.593155324459076	0.8689578920602798	0.8342397660017014	0.7869920432567596	4816896.0
phase1f_ckpt2	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.7.1.attn.quan_a_v_fn	0.0	4.0	768.0	2.2605289220809937	0.0013806162169203162	0.005189130082726479	4.425882697105408	0.4119335561990738	2.227039873600006	0.6351406574249268	0.9094666689634323	0.06763252802193165	0.14480585232377052	0.39250728487968445	0.2662373185157776	0.17805586755275726	1.8860818445682526	1.0826169848442078	0.7543916404247284	1.5104117393493652	0.8097226172685623	0.5697616338729858	2408448.0
phase1f_ckpt2	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.5.5.attn.quant_x_4_qkv.input_quant_fn	0.0	4.0	49.0	2.5303531885147095	0.0013612234906759113	0.004955110023729503	4.6028664112091064	0.5415490567684174	2.2361473441123962	0.6570370644330978	0.9019774496555328	0.07580160163342953	0.1495649218559265	0.30852437019348145	0.2992163896560669	0.2882087528705597	1.2803133726119995	1.2108615040779114	1.155567705631256	0.9530382603406906	0.8969562947750092	0.8456294983625412	4816896.0
phase1f_ckpt2	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.7.1.attn.quan_a_qkx_fn	0.0	4.0	1176.0	2.109695851802826	0.0004623779677785933	0.0033249412081204355	3.20708429813385	0.20787584781646729	4.4845850467681885	0.5618753731250763	0.8175648599863052	0.03637010883539915	0.08077346719801426	0.21745271980762482	0.1438790112733841	0.05049188435077667	2.1628400087356567	1.084035485982895	0.6385239511728287	1.448435664176941	0.7677844166755676	0.4791105091571808	57802752.0
phase1f_ckpt2	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.7.1.mlp.fc1.input_quant_fn	0.0	4.0	7.0	18.84919834136963	0.005695460480637848	0.002852459321729839	24.968825817108154	0.910388857126236	4.086080372333527	0.44665122777223587	0.7225600481033325	0.2213818095624447	0.43670952320098877	0.8987126350402832	0.8669266700744629	0.8436068892478943	1.4424354434013367	1.32554429769516	1.1908382773399353	0.7603805661201477	0.7006997019052505	0.6004157662391663	2408448.0
phase1f_ckpt2	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.7.1.attn.proj.input_quant_fn	0.0	4.0	49.0	1.049718827009201	0.0002484959004505072	0.0015750806778669357	2.509406328201294	0.19921525567770004	1.7197065651416779	0.4385203421115875	0.7178167998790741	0.05166090466082096	0.10460391640663147	0.2246898114681244	0.21129004657268524	0.2065637707710266	1.1066873669624329	1.0497416257858276	0.9891441613435745	0.7751237601041794	0.7206138223409653	0.6699941903352737	2408448.0
phase1f_ckpt2	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.5.5.attn.proj.input_quant_fn	0.0	4.0	49.0	1.0152163207530975	0.0002562455883889925	0.0012890043726656586	2.785132348537445	0.3118126392364502	1.583951473236084	0.46082182228565216	0.6907345056533813	0.0624134186655283	0.12696412578225136	0.27078694105148315	0.25465190410614014	0.23935529589653015	1.0804138481616974	1.0192456245422363	0.9588411748409271	0.7525381445884705	0.7093911319971085	0.667022705078125	4816896.0
