case	wbits	abits	metric	value
phase1f_ckpt3	4	4	quantizer.quan_a_qkx_fn.p95	0.20885306596755981
phase1f_ckpt3	4	4	quantizer.quan_a_qkx_fn.max	0.5658925771713257
phase1f_ckpt3	4	4	quantizer.quan_a_v_fn.numel	4416
phase1f_ckpt3	4	4	quantizer.quan_a_v_fn.mean	0.22701893746852875
phase1f_ckpt3	4	4	quantizer.quan_a_v_fn.std	0.05973365157842636
phase1f_ckpt3	4	4	quantizer.quan_a_v_fn.min	0.049365900456905365
phase1f_ckpt3	4	4	quantizer.quan_a_v_fn.p05	0.13354206085205078
phase1f_ckpt3	4	4	quantizer.quan_a_v_fn.p50	0.2299956977367401
phase1f_ckpt3	4	4	quantizer.quan_a_v_fn.p95	0.3250456154346466
phase1f_ckpt3	4	4	quantizer.quan_a_v_fn.max	0.41121768951416016
phase1f_ckpt3	4	4	quantizer.quan_a_softmax_fn.numel	588
phase1f_ckpt3	4	4	quantizer.quan_a_softmax_fn.mean	0.03820595145225525
phase1f_ckpt3	4	4	quantizer.quan_a_softmax_fn.std	0.009370512329041958
phase1f_ckpt3	4	4	quantizer.quan_a_softmax_fn.min	0.014827022328972816
phase1f_ckpt3	4	4	quantizer.quan_a_softmax_fn.p05	0.018320482224225998
phase1f_ckpt3	4	4	quantizer.quan_a_softmax_fn.p50	0.03881588578224182
phase1f_ckpt3	4	4	quantizer.quan_a_softmax_fn.p95	0.051908962428569794
phase1f_ckpt3	4	4	quantizer.quan_a_softmax_fn.max	0.0567929744720459
