case	checkpoint	quantizer	all_positive	bit	channels	clip_excess_max	clip_excess_mean	clip_rate	input_abs_max	input_abs_mean	normalized_max	normalized_p95	normalized_p99	quant_abs_error_mean	quant_abs_error_p99	scale_max	scale_mean	scale_min	target_ratio_0p999_max	target_ratio_0p999_mean	target_ratio_0p999_min	target_ratio_0p99_max	target_ratio_0p99_mean	target_ratio_0p99_min	tokens
ckpt10_start	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706/checkpoint-10.pth.tar	features.5.5.attn.quan_a_qkx_fn	0.0	4.0	588.0	2.1080458760261536	0.0021474589011631906	0.013093606801703572	3.162935733795166	0.2928693816065788	3.61105078458786	0.7505107820034027	1.0479063093662262	0.037715278565883636	0.08398812636733055	0.18895795941352844	0.14396710693836212	0.06250564754009247	2.1877198219299316	1.3593324720859528	1.0134475231170654	1.5929267406463623	1.0058763921260834	0.731781929731369	57802752.0
ckpt10_start	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706/checkpoint-10.pth.tar	features.5.5.attn.quan_a_v_fn	0.0	4.0	384.0	3.163690447807312	0.0020625024917535484	0.005898611736483872	5.350446581840515	0.5169890522956848	2.498305380344391	0.6631724834442139	0.9267930239439011	0.07605033554136753	0.1603398472070694	0.3654879927635193	0.2975473403930664	0.19540388882160187	2.2522228956222534	1.1684087812900543	0.877558633685112	2.0834699869155884	0.8881232291460037	0.6663699895143509	4816896.0
ckpt10_start	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706/checkpoint-10.pth.tar	features.7.1.attn.quant_x_4_qkv.input_quant_fn	0.0	4.0	49.0	2.3409465551376343	0.0027080976287834346	0.005758376209996641	3.720193386077881	0.2650302052497864	3.406937599182129	0.5604375451803207	0.9162131696939468	0.05121396854519844	0.1044655367732048	0.2151486575603485	0.19593575596809387	0.13874654471874237	3.305266261100769	1.7275342047214508	1.3766296803951263	1.0106298476457596	0.8462995886802673	0.7014283686876297	2408448.0
ckpt10_start	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706/checkpoint-10.pth.tar	features.7.1.attn.quan_a_v_fn	0.0	4.0	768.0	2.267368733882904	0.0015140467148739845	0.005483510554768145	4.647050857543945	0.40478477627038956	2.2062467336654663	0.6328902691602707	0.9169618934392929	0.06775461696088314	0.1453014612197876	0.39600735902786255	0.26623091101646423	0.1751692146062851	1.9114424586296082	1.090150386095047	0.7415832728147507	1.5285460352897644	0.8102019280195236	0.5705587714910507	2408448.0
ckpt10_start	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706/checkpoint-10.pth.tar	features.5.5.mlp.fc1.input_quant_fn	0.0	4.0	14.0	6.474398493766785	0.008058523992076516	0.005349866230972111	10.149789333343506	0.7863072007894516	2.8230799436569214	0.5277132987976074	0.7236716449260712	0.13793325796723366	0.2591344267129898	0.5357292294502258	0.5223225951194763	0.5061928033828735	1.9861255288124084	1.7710939943790436	1.596506953239441	0.8680420517921448	0.8333907127380371	0.7872237116098404	4816896.0
ckpt10_start	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706/checkpoint-10.pth.tar	features.5.5.attn.quant_x_4_qkv.input_quant_fn	0.0	4.0	49.0	2.5298298597335815	0.0012718733050860465	0.004648792441003025	4.6425909996032715	0.537185549736023	2.197753071784973	0.6454964280128479	0.8861423432826996	0.07611736468970776	0.150589719414711	0.3128926455974579	0.30068644881248474	0.2869108319282532	1.2714928984642029	1.201327919960022	1.1494117975234985	0.9473800510168076	0.8881704211235046	0.8355588167905807	4816896.0
ckpt10_start	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706/checkpoint-10.pth.tar	features.7.1.attn.quan_a_qkx_fn	0.0	4.0	1176.0	2.1525359749794006	0.0005335234600352123	0.003740427491720766	3.2236717343330383	0.20780401676893234	4.173759281635284	0.5655677765607834	0.8306751400232315	0.03642413858324289	0.08115721493959427	0.21882569789886475	0.1438438445329666	0.04978003725409508	2.237915873527527	1.0964012145996094	0.6058691591024399	1.5204538106918335	0.7734770178794861	0.4817456379532814	57802752.0
ckpt10_start	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706/checkpoint-10.pth.tar	features.7.1.mlp.fc1.input_quant_fn	0.0	4.0	7.0	17.59751057624817	0.004441219265572727	0.002286534698214382	23.67165756225586	0.8400606513023376	3.9120267033576965	0.41453977674245834	0.6772152334451675	0.22114315629005432	0.4385160207748413	0.903742790222168	0.8709096908569336	0.8479993343353271	1.3590466976165771	1.253211885690689	1.1266365945339203	0.726412832736969	0.648972362279892	0.5283132344484329	2408448.0
ckpt10_start	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706/checkpoint-10.pth.tar	features.7.1.attn.proj.input_quant_fn	0.0	4.0	49.0	1.0789267420768738	0.00032345020008506253	0.001980113302124664	2.5499715209007263	0.20059660822153091	1.733049362897873	0.4516964852809906	0.7540910989046097	0.05192839540541172	0.10507401823997498	0.2251044511795044	0.2121249884366989	0.20735695958137512	1.1306550204753876	1.0790079832077026	1.0181779563426971	0.7948576509952545	0.7434323579072952	0.6869010925292969	2408448.0
ckpt10_start	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe10ep_e_featnorm_aug_fixed_qkr_softkd_t275_rebuild_20260706/checkpoint-10.pth.tar	features.5.5.attn.proj.input_quant_fn	0.0	4.0	49.0	1.0299860835075378	0.00022161172819323838	0.0010924566013272852	2.8254355788230896	0.30701901763677597	1.593771517276764	0.45615577697753906	0.6807745546102524	0.06264259107410908	0.1277262307703495	0.2717466652393341	0.2563675343990326	0.24109292030334473	1.0593809187412262	1.000679686665535	0.9348121285438538	0.7338284105062485	0.6922267526388168	0.6443769037723541	4816896.0
