timestamp	checkpoint	loss	acc1	acc5	samples	delta_vs_80.5980	delta_vs_scheme_c_80.6820	delta_vs_original_80.7240	delta_vs_dynamic_80.7600	status
2026-07-12T03:52:40Z	checkpoint-11	0.8448	80.3360	95.2440	50000	-0.2620	-0.3460	-0.3880	-0.4240	below_baseline
2026-07-12T03:52:40Z	checkpoint-12	0.8443	80.3760	95.2920	50000	-0.2220	-0.3060	-0.3480	-0.3840	below_baseline
2026-07-12T03:52:40Z	checkpoint-13	0.8443	80.3460	95.2740	50000	-0.2520	-0.3360	-0.3780	-0.4140	below_baseline
2026-07-12T03:52:40Z	checkpoint-14	0.8467	80.3700	95.3000	50000	-0.2280	-0.3120	-0.3540	-0.3900	below_baseline
2026-07-12T03:52:40Z	checkpoint-15	0.8443	80.3720	95.3000	50000	-0.2260	-0.3100	-0.3520	-0.3880	below_baseline
2026-07-12T03:52:40Z	checkpoint-16	0.8435	80.3800	95.3140	50000	-0.2180	-0.3020	-0.3440	-0.3800	below_baseline
2026-07-12T03:52:40Z	checkpoint-17	0.8416	80.3640	95.3100	50000	-0.2340	-0.3180	-0.3600	-0.3960	below_baseline
2026-07-12T03:52:40Z	checkpoint-18	0.8416	80.3020	95.2420	50000	-0.2960	-0.3800	-0.4220	-0.4580	below_baseline
2026-07-12T03:52:40Z	checkpoint-19	0.8427	80.3360	95.2660	50000	-0.2620	-0.3460	-0.3880	-0.4240	below_baseline
2026-07-12T03:52:40Z	checkpoint-20	0.8388	80.4580	95.3380	50000	-0.1400	-0.2240	-0.2660	-0.3020	below_baseline
2026-07-12T03:52:40Z	checkpoint-21	0.8416	80.4660	95.3400	50000	-0.1320	-0.2160	-0.2580	-0.2940	below_baseline
2026-07-12T03:52:40Z	checkpoint-22	0.8378	80.5440	95.3640	50000	-0.0540	-0.1380	-0.1800	-0.2160	below_baseline
2026-07-12T03:52:40Z	checkpoint-23	0.8421	80.3720	95.3100	50000	-0.2260	-0.3100	-0.3520	-0.3880	below_baseline
2026-07-12T03:52:40Z	checkpoint-24	0.8407	80.3720	95.2980	50000	-0.2260	-0.3100	-0.3520	-0.3880	below_baseline
