timestamp	checkpoint	loss	acc1	acc5	samples	delta_vs_80.5980	delta_vs_scheme_c_80.6820	delta_vs_original10to60_80.7240	delta_vs_original10to110_80.7520	delta_vs_dynamic10to110_80.7600	delta_vs_kl100ep_80.7720	delta_vs_late10to210_80.8280	status
2026-07-15T03:28:46Z	checkpoint-1	0.9907	77.7080	94.0940	50000	-2.8900	-2.9740	-3.0160	-3.0440	-3.0520	-3.0640	-3.1200	below_baseline
2026-07-15T03:28:46Z	checkpoint-2	0.9535	78.2980	94.5060	50000	-2.3000	-2.3840	-2.4260	-2.4540	-2.4620	-2.4740	-2.5300	below_baseline
2026-07-15T03:28:46Z	checkpoint-3	0.9408	78.5020	94.4740	50000	-2.0960	-2.1800	-2.2220	-2.2500	-2.2580	-2.2700	-2.3260	below_baseline
2026-07-15T03:28:46Z	checkpoint-4	0.9402	78.4680	94.6440	50000	-2.1300	-2.2140	-2.2560	-2.2840	-2.2920	-2.3040	-2.3600	below_baseline
2026-07-15T03:28:46Z	checkpoint-5	0.9215	78.4660	94.6660	50000	-2.1320	-2.2160	-2.2580	-2.2860	-2.2940	-2.3060	-2.3620	below_baseline
2026-07-15T03:28:46Z	checkpoint-6	0.9229	78.6860	94.6080	50000	-1.9120	-1.9960	-2.0380	-2.0660	-2.0740	-2.0860	-2.1420	below_baseline
2026-07-15T03:28:46Z	checkpoint-7	0.9125	78.8220	94.6720	50000	-1.7760	-1.8600	-1.9020	-1.9300	-1.9380	-1.9500	-2.0060	below_baseline
2026-07-15T03:28:46Z	checkpoint-8	0.9176	78.8020	94.7680	50000	-1.7960	-1.8800	-1.9220	-1.9500	-1.9580	-1.9700	-2.0260	below_baseline
2026-07-15T03:28:46Z	checkpoint-9	0.9093	78.7960	94.6840	50000	-1.8020	-1.8860	-1.9280	-1.9560	-1.9640	-1.9760	-2.0320	below_baseline
2026-07-15T03:28:46Z	checkpoint-10	0.9089	78.9460	94.7940	50000	-1.6520	-1.7360	-1.7780	-1.8060	-1.8140	-1.8260	-1.8820	below_baseline
2026-07-15T03:28:46Z	checkpoint-11	0.9076	78.9520	94.7920	50000	-1.6460	-1.7300	-1.7720	-1.8000	-1.8080	-1.8200	-1.8760	below_baseline
2026-07-15T03:28:46Z	checkpoint-12	0.9068	79.0720	94.8280	50000	-1.5260	-1.6100	-1.6520	-1.6800	-1.6880	-1.7000	-1.7560	below_baseline
2026-07-15T03:28:46Z	checkpoint-13	0.9142	78.9700	94.7980	50000	-1.6280	-1.7120	-1.7540	-1.7820	-1.7900	-1.8020	-1.8580	below_baseline
2026-07-15T03:28:46Z	checkpoint-14	0.8943	79.2400	94.8700	50000	-1.3580	-1.4420	-1.4840	-1.5120	-1.5200	-1.5320	-1.5880	below_baseline
2026-07-15T03:28:46Z	checkpoint-15	0.9034	79.1180	94.8340	50000	-1.4800	-1.5640	-1.6060	-1.6340	-1.6420	-1.6540	-1.7100	below_baseline
2026-07-15T03:28:46Z	checkpoint-16	0.9040	79.1460	94.9020	50000	-1.4520	-1.5360	-1.5780	-1.6060	-1.6140	-1.6260	-1.6820	below_baseline
2026-07-15T03:28:46Z	checkpoint-17	0.8947	79.2520	94.8520	50000	-1.3460	-1.4300	-1.4720	-1.5000	-1.5080	-1.5200	-1.5760	below_baseline
2026-07-15T03:28:46Z	checkpoint-18	0.8889	79.2860	94.7720	50000	-1.3120	-1.3960	-1.4380	-1.4660	-1.4740	-1.4860	-1.5420	below_baseline
