timestamp	checkpoint	loss	acc1	acc5	samples	delta_vs_80.5980	delta_vs_scheme_c_80.6820	delta_vs_original_80.7240	status
2026-07-11T10:20:36Z	checkpoint-11	0.8448	80.3360	95.2440	50000	-0.2620	-0.3460	-0.3880	below_baseline
2026-07-11T10:20:36Z	checkpoint-12	0.8443	80.3760	95.2920	50000	-0.2220	-0.3060	-0.3480	below_baseline
2026-07-11T10:20:36Z	checkpoint-13	0.8443	80.3460	95.2740	50000	-0.2520	-0.3360	-0.3780	below_baseline
2026-07-11T10:20:36Z	checkpoint-14	0.8467	80.3700	95.3000	50000	-0.2280	-0.3120	-0.3540	below_baseline
2026-07-11T10:20:36Z	checkpoint-15	0.8443	80.3720	95.3000	50000	-0.2260	-0.3100	-0.3520	below_baseline
2026-07-11T10:20:36Z	checkpoint-16	0.8435	80.3800	95.3140	50000	-0.2180	-0.3020	-0.3440	below_baseline
2026-07-11T10:20:36Z	checkpoint-17	0.8416	80.3640	95.3100	50000	-0.2340	-0.3180	-0.3600	below_baseline
2026-07-11T10:20:36Z	checkpoint-18	0.8416	80.3020	95.2420	50000	-0.2960	-0.3800	-0.4220	below_baseline
2026-07-11T10:20:36Z	checkpoint-19	0.8427	80.3360	95.2660	50000	-0.2620	-0.3460	-0.3880	below_baseline
2026-07-11T10:20:36Z	checkpoint-20	0.8388	80.4580	95.3380	50000	-0.1400	-0.2240	-0.2660	below_baseline
2026-07-11T10:20:36Z	checkpoint-21	0.8416	80.4660	95.3400	50000	-0.1320	-0.2160	-0.2580	below_baseline
2026-07-11T10:20:36Z	checkpoint-22	0.8378	80.5440	95.3640	50000	-0.0540	-0.1380	-0.1800	below_baseline
2026-07-11T10:20:36Z	checkpoint-23	0.8421	80.3720	95.3100	50000	-0.2260	-0.3100	-0.3520	below_baseline
2026-07-11T10:20:36Z	checkpoint-24	0.8407	80.3720	95.2980	50000	-0.2260	-0.3100	-0.3520	below_baseline
2026-07-11T10:20:36Z	checkpoint-25	0.8385	80.4600	95.3220	50000	-0.1380	-0.2220	-0.2640	below_baseline
2026-07-11T10:20:36Z	checkpoint-26	0.8442	80.3800	95.3140	50000	-0.2180	-0.3020	-0.3440	below_baseline
2026-07-11T10:20:36Z	checkpoint-27	0.8400	80.4660	95.3280	50000	-0.1320	-0.2160	-0.2580	below_baseline
2026-07-11T10:20:36Z	checkpoint-28	0.8376	80.4700	95.2960	50000	-0.1280	-0.2120	-0.2540	below_baseline
2026-07-11T10:20:36Z	checkpoint-29	0.8409	80.3600	95.3560	50000	-0.2380	-0.3220	-0.3640	below_baseline
2026-07-11T10:20:36Z	checkpoint-30	0.8380	80.4880	95.3300	50000	-0.1100	-0.1940	-0.2360	below_baseline
2026-07-11T10:20:36Z	checkpoint-31	0.8438	80.3800	95.2800	50000	-0.2180	-0.3020	-0.3440	below_baseline
2026-07-11T10:20:36Z	checkpoint-32	0.8373	80.5980	95.3180	50000	0.0000	-0.0840	-0.1260	below_baseline
2026-07-11T10:20:36Z	checkpoint-33	0.8394	80.5200	95.3880	50000	-0.0780	-0.1620	-0.2040	below_baseline
2026-07-11T10:20:36Z	checkpoint-34	0.8421	80.4040	95.3000	50000	-0.1940	-0.2780	-0.3200	below_baseline
2026-07-11T10:20:36Z	checkpoint-35	0.8366	80.4500	95.3840	50000	-0.1480	-0.2320	-0.2740	below_baseline
2026-07-11T10:20:36Z	checkpoint-36	0.8394	80.6020	95.3420	50000	0.0040	-0.0800	-0.1220	above_baseline
2026-07-11T10:20:36Z	checkpoint-37	0.8350	80.5460	95.4000	50000	-0.0520	-0.1360	-0.1780	below_baseline
2026-07-11T10:20:36Z	checkpoint-38	0.8346	80.5040	95.3220	50000	-0.0940	-0.1780	-0.2200	below_baseline
2026-07-11T10:20:36Z	checkpoint-39	0.8410	80.5040	95.3260	50000	-0.0940	-0.1780	-0.2200	below_baseline
2026-07-11T10:20:36Z	checkpoint-40	0.8343	80.4740	95.3960	50000	-0.1240	-0.2080	-0.2500	below_baseline
2026-07-11T10:20:36Z	checkpoint-41	0.8343	80.5280	95.3220	50000	-0.0700	-0.1540	-0.1960	below_baseline
2026-07-11T10:20:36Z	checkpoint-42	0.8343	80.5480	95.3680	50000	-0.0500	-0.1340	-0.1760	below_baseline
2026-07-11T10:20:36Z	checkpoint-43	0.8402	80.5740	95.3700	50000	-0.0240	-0.1080	-0.1500	below_baseline
2026-07-11T10:20:36Z	checkpoint-44	0.8358	80.4960	95.2740	50000	-0.1020	-0.1860	-0.2280	below_baseline
2026-07-11T10:20:36Z	checkpoint-45	0.8308	80.5420	95.3280	50000	-0.0560	-0.1400	-0.1820	below_baseline
2026-07-11T10:20:36Z	checkpoint-46	0.8359	80.5320	95.3120	50000	-0.0660	-0.1500	-0.1920	below_baseline
2026-07-11T10:20:36Z	checkpoint-47	0.8348	80.5780	95.3820	50000	-0.0200	-0.1040	-0.1460	below_baseline
2026-07-11T10:20:36Z	checkpoint-48	0.8377	80.5840	95.3080	50000	-0.0140	-0.0980	-0.1400	below_baseline
2026-07-11T10:20:36Z	checkpoint-49	0.8344	80.5820	95.3620	50000	-0.0160	-0.1000	-0.1420	below_baseline
2026-07-11T10:20:36Z	checkpoint-50	0.8326	80.5800	95.3700	50000	-0.0180	-0.1020	-0.1440	below_baseline
2026-07-11T10:20:36Z	checkpoint-51	0.8330	80.5200	95.3340	50000	-0.0780	-0.1620	-0.2040	below_baseline
