group_type	key	params	numel	rel_125	rel_250	rel_300	rel_500	corr_top1	drift_300_minus_250	drift_500_minus_250
kind	move_v_shift	24	8832	0.0033350176672208003	0.0039009386388033315	0.004085119621101587	0.004349009870998186	-0.08572172169126346	0.00018418098229825526	0.00044807123219485446
kind	norm	56	24576	3.3727585931105613e-05	4.345767238515398e-05	4.694361444113762e-05	5.744165265903373e-05	-0.025828953079114748	3.4859420559836413e-06	1.3983980273879754e-05
kind	move_shift	106	295040	0.000974716508226935	0.0013150423617802368	0.0014261553383078595	0.0017796530010361466	-0.018499210130600914	0.00011111297652762267	0.0004646106392559098
kind	mlp	48	17274432	0.0007191326495124495	0.0009556436535867141	0.0010277683576381828	0.0012578683156228426	-0.016880822889169332	7.212470405146873e-05	0.0003022246620361285
kind	attn_proj	24	2160960	0.0008372464904204945	0.0011082004611687043	0.0011886301487460341	0.001444247879261714	-0.016691181903823103	8.042968757732984e-05	0.0003360474180930098
kind	attn_qkv	48	6474048	0.0008231158362629765	0.0011022407647764301	0.001190571832679522	0.0014762067729231377	-0.016334431164280024	8.833106790309187e-05	0.0003739660081467076
kind	act_quant	102	21772	0.0003682140919934528	0.0004780434067333857	0.0005165107082928166	0.0006531569436306765	-0.008819339720410836	3.8467301559430946e-05	0.00017511353689729086
kind	relpos	12	23322	2.8003389696544002e-05	4.0193132639190775e-05	4.428192399159269e-05	5.938155993272289e-05	-0.004366570571673486	4.088791352401914e-06	1.9188427293532113e-05
kind	softmax_quant	12	588	0.0015609488782272907	0.0019006193054509947	0.0020116126760009205	0.002438391652230734	-8.755825141489695e-05	0.0001109933705499258	0.0005377723467797394
kind	other	34	1563360	0.0	0.0	0.0	0.0	0.0	0.0	0.0
kind	weight_quant	65	1159	0.0	0.0	0.0	0.0	0.0	0.0	0.0
kind	head	2	769000	0.0	0.0	0.0	0.0	0.0	0.0	0.0
stage_kind	features.5.5|move_v_shift	2	768	0.011906181085705193	0.014772530616079136	0.015530643396238279	0.01558786493928851	-0.13279946645523039	0.0007581127801591422	0.0008153343232093734
stage_kind	features.5.5|softmax_quant	1	49	0.0027305832135216925	0.0032912725347976953	0.003647683812735479	0.004362225360864071	-0.08885175159219388	0.0003564112779377835	0.001070952826066376
stage_kind	features.7.1|norm	4	3072	5.059976328873321e-05	6.443682131861845e-05	7.046324027384401e-05	8.673614408795609e-05	-0.04192678621619677	6.02641895522556e-06	2.2299322769337636e-05
stage_kind	features.7.1|move_v_shift	2	1536	0.006211175898014935	0.0068547246910340654	0.007147047112882195	0.008071319314341154	-0.02535713833907926	0.0002923224218481296	0.0012165946233070888
stage_kind	features.5.5|attn_proj	2	147840	0.001524656566353499	0.0020267830221560395	0.002189425973180706	0.0026822600400754227	-0.022995687048107987	0.00016264295102466674	0.0006554770179193832
stage_kind	features.5.5|move_shift	8	13824	0.0017704738957936557	0.002360332954122314	0.0025503440826231696	0.0031377757103556937	-0.0209669860812721	0.0001900111285008557	0.0007774427562333799
