run	global_block	stage	block	head	mean_js	mean_cosine_distance	mean_topk_overlap_change	mean_entropy_delta	oscillation_score	spike_score	reversal_score	late_window_score	post_peak_drop_score	acc_up_corr	acc_down_corr	harmful_score	beneficial_score	custom_subset_token	stage_block_head
original	0	0	0	0	1.7372653254608148e-05	5.888218783978161e-05	0.015306122448979591	6.960215974194384e-05	0.015389337506048175	0.9999999999350199	0.0	0.015389337506048175	0.0	0.0	0.0	0.5179747461745743	0.014742985330794127	0:0	0:0:0
original	0	0	0	1	7.99168972809569e-06	1.893243142703227e-06	0.0	0.00044685980864933583	5.45709137357325e-05	0.9999999816752201	0.0	5.45709137357325e-05	0.0	0.0	0.0	0.5000637296648534	5.2278935358831645e-05	0:1	0:0:1
original	0	0	0	2	2.6757548763616476e-05	9.577870085530904e-05	0.030612244897959183	0.0005206526951608836	0.030786846417094196	0.9999999999675186	0.0	0.030786846417094196	0.0	0.0	0.0	0.5359590365989255	0.02949379886757619	0:2	0:0:2
original	1	0	1	0	9.213774374826557e-05	0.0002878102394597848	0.05612244897959184	0.0014440173111416321	0.05664679869391405	0.9999999999823468	0.0	0.05664679869391405	0.0	0.0	0.0	0.5661634608656654	0.05426763314876957	1:0	0:1:0
original	1	0	1	1	7.52776746266756e-05	3.176213427169561e-05	0.01020408163265306	0.002610267505455788	0.01057214819209701	0.9999999999054118	0.0	0.01057214819209701	0.0	0.0	0.0	0.5123482690410752	0.010128117968028918	1:1	0:1:1
original	1	0	1	2	5.902146218276127e-05	0.00019460494587997257	0.05102040816326531	1.2210524988898186e-05	0.05127525562382693	0.9999999999804975	0.0	0.05127525562382693	0.0	0.0	0.0	0.5598894985588789	0.04912169488762612	1:2	0:1:2
original	2	1	0	0	0.00013093830023350466	0.0003764101249356111	0.12244897959183673	0.0006593716612557365	0.12302226518313142	0.9999999999918714	0.0	0.12302226518313142	0.0	0.0	0.0	0.6436900057298339	0.1178553300454397	2:0	1:0:0
original	2	1	0	1	0.00023516164268817287	0.0007356095337806012	0.09183673469387756	0.0006537758140314764	0.09287288345174949	0.9999999999892325	0.0	0.09287288345174949	0.0	0.0	0.0	0.6084755278662601	0.08897222234677586	2:1	1:0:1
original	2	1	0	2	0.0006551002677388699	8.01823657451406e-05	0.00510204081632653	0.008652242608987004	0.006702547710709241	0.9999999998508029	0.0	0.006702547710709241	0.0	0.0	0.0	0.5078285756515099	0.006421040706859442	2:2	1:0:2
original	2	1	0	3	0.0006822492093310202	6.249981543804406e-05	0.08673469387755102	0.016765402782993766	0.08915598318061946	0.9999999999887836	0.0	0.08915598318061946	0.0	0.0	0.0	0.604134188349356	0.0854114318870333	2:3	1:0:3
original	2	1	0	4	0.0008762126466251561	3.4526493839170946e-05	0.12244897959183673	0.003696899122050956	0.12372940864450616	0.9999999999919178	0.0	0.12372940864450616	0.0	0.0	0.0	0.6445159492927428	0.1185327734814367	2:4	1:0:4
original	2	1	0	5	0.0008955069420544692	4.900706087151985e-05	0.16326530612244897	0.008206143687702672	0.16503043449414523	0.9999999999939405	0.0	0.16503043449414523	0.0	0.0	0.0	0.692755547486133	0.15809915624539086	2:5	1:0:5
original	3	1	1	0	0.00011936187739996639	0.00019639902112034147	0.030612244897959183	0.0007615804914693491	0.031004163845626428	0.9999999999677464	0.0	0.031004163845626428	0.0	0.0	0.0	0.536212863355565	0.029701988964110068	3:0	1:1:0
original	3	1	1	1	0.0004702688737145618	0.00022257229899980135	0.02040816326530612	0.008238597490261235	0.021924864187046606	0.9999999999543897	0.0	0.021924864187046606	0.0	0.0	0.0	0.5256082413476654	0.021004019891190613	3:1	1:1:1
original	3	1	1	2	0.0007311082631235712	0.0009376049395931618	0.04081632653061224	0.008343856974839525	0.04331942543081293	0.9999999999769157	0.0	0.04331942543081293	0.0	0.0	0.0	0.5505970888916476	0.041500009562718716	3:2	1:1:2
original	3	1	1	3	0.001028098770049852	0.002012132411009837	0.10204081632653061	0.0006309850595074273	0.10514414601354104	0.9999999999904892	0.0	0.10514414601354104	0.0	0.0	0.0	0.6228083625390612	0.10072809188097215	3:3	1:1:3
original	3	1	1	4	0.0006184706448051407	0.00045035683405114657	0.02040816326530612	0.0024372103916858734	0.021720711783330994	0.999999999953961	0.0	0.021720711783330994	0.0	0.0	0.0	0.5253697913399112	0.02080844188843106	3:4	1:1:4
original	3	1	1	5	0.0003888004077944512	0.0006838351536669895	0.05102040816326531	0.0015643193707561842	0.052249475661802366	0.9999999999808611	0.0	0.052249475661802366	0.0	0.0	0.0	0.5610273875634161	0.050054997684006584	3:5	1:1:5
original	4	2	0	0	0.0005777401737548039	0.0005363478180598902	0.0	0.003836811356314751	0.0014977691274461692	0.9999999993323404	0.0	0.0014977691274461692	0.0	0.0	0.0	0.5017493940070273	0.0014348628240934277	4:0	2:0:0
original	4	2	0	1	0.0006497611942638808	0.0009783773543138308	0.04081632653061224	0.0033557287853471784	0.04278003795772467	0.9999999999766246	0.0	0.04278003795772467	0.0	0.0	0.0	0.5499670843229351	0.040983276363500167	4:1	2:0:1
original	4	2	0	2	0.001574242938889108	0.0042557829006935055	0.1326530612244898	0.0008213125065434923	0.13856521831472676	0.9999999999927831	0.0	0.13856521831472676	0.0	0.0	0.0	0.6618441749879933	0.13274547914550802	4:2	2:0:2
original	4	2	0	3	0.001984336402408782	0.005487249615106937	0.19387755102040816	0.0023820452712901563	0.2015873415650529	0.9999999999950393	0.0	0.2015873415650529	0.0	0.0	0.0	0.7354540149455027	0.19312067321932036	4:3	2:0:3
original	4	2	0	4	0.0009558995439220632	0.0028880519351831557	0.1836734693877551	0.0013356103552299992	0.18765098190238333	0.9999999999946709	0.0	0.18765098190238333	0.0	0.0	0.0	0.7191763468593203	0.17976964066248294	4:4	2:0:4
original	4	2	0	5	0.0008033767571423405	0.00021048317272531758	0.02040816326530612	0.0022116802119165335	0.02164319121636543	0.9999999999537962	0.0	0.02164319121636543	0.0	0.0	0.0	0.5252792473176131	0.02073417718527805	4:5	2:0:5
original	4	2	0	6	0.0010430333399516667	0.00031806954826996137	0.030612244897959183	0.0068837062593209986	0.03266171841211291	0.9999999999693832	0.0	0.03266171841211291	0.0	0.0	0.0	0.5381488870900397	0.03128992623880412	4:6	2:0:6
original	4	2	0	7	0.0008742144946749146	0.0030702503557223926	0.2653061224489796	0.0011660011603029652	0.2693671874154072	0.9999999999962876	0.0	0.2693671874154072	0.0	0.0	0.0	0.8146208748993412	0.2580537655439597	4:7	2:0:7
original	4	2	0	8	0.0010562595416441852	0.0037794099602603826	0.27040816326530615	0.002159089394716762	0.27545974170668236	0.9999999999963698	0.0	0.27545974170668236	0.0	0.0	0.0	0.8217369783115915	0.2638904325550013	4:8	2:0:8
original	4	2	0	9	0.00039783012160558243	0.0009554313322370778	0.08163265306122448	0.0022214767590567064	0.08320806219097282	0.9999999999879818	0.0	0.08320806219097282	0.0	0.0	0.0	0.5971870166330477	0.07971332357895183	4:9	2:0:9
original	4	2	0	10	0.0008797441988052377	0.0002357966811181722	0.04591836734693878	0.006623794758610746	0.047696287702723265	0.999999999979034	0.0	0.047696287702723265	0.0	0.0	0.0	0.555709264026298	0.04569304361920881	4:10	2:0:10
original	4	2	0	11	0.000586433015911301	0.00015030401954241324	0.030612244897959183	0.0008759335122809908	0.031436575284641	0.99999999996819	0.0	0.031436575284641	0.0	0.0	0.0	0.5367179199165559	0.030116239122686028	4:11	2:0:11
