run	ckpt_a	ckpt_b	acc_a	acc_b	acc_delta	global_block	stage	block	head	js_divergence	cosine_distance	topk_overlap_change	entropy_a	entropy_b	entropy_delta	oscillation_score
original	48	49	80.598	80.514	-0.08400000000000318	0	0	0	0	1.7372653254608148e-05	5.888218783978161e-05	0.015306122448979591	3.8233966501738945	3.8233270480141526	6.960215974194384e-05	0.015389337506048175
original	48	49	80.598	80.514	-0.08400000000000318	0	0	0	1	7.99168972809569e-06	1.893243142703227e-06	0.0	2.2326646967447017	2.233111556553351	0.00044685980864933583	5.45709137357325e-05
original	48	49	80.598	80.514	-0.08400000000000318	0	0	0	2	2.6757548763616476e-05	9.577870085530904e-05	0.030612244897959183	3.832668576873292	3.8321479241781313	0.0005206526951608836	0.030786846417094196
original	48	49	80.598	80.514	-0.08400000000000318	1	0	1	0	9.213774374826557e-05	0.0002878102394597848	0.05612244897959184	3.7195489352896227	3.718104917978481	0.0014440173111416321	0.05664679869391405
original	48	49	80.598	80.514	-0.08400000000000318	1	0	1	1	7.52776746266756e-05	3.176213427169561e-05	0.01020408163265306	2.0461810129174984	2.048791280422954	0.002610267505455788	0.01057214819209701
original	48	49	80.598	80.514	-0.08400000000000318	1	0	1	2	5.902146218276127e-05	0.00019460494587997257	0.05102040816326531	3.74450527998179	3.744493069456801	1.2210524988898186e-05	0.05127525562382693
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	0	0.00013093830023350466	0.0003764101249356111	0.12244897959183673	3.7901086347074675	3.7894492630462118	0.0006593716612557365	0.12302226518313142
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	1	0.00023516164268817287	0.0007356095337806012	0.09183673469387756	3.7763921843566943	3.775738408542663	0.0006537758140314764	0.09287288345174949
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	2	0.0006551002677388699	8.01823657451406e-05	0.00510204081632653	1.76739805734692	1.776050299955907	0.008652242608987004	0.006702547710709241
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	3	0.0006822492093310202	6.249981543804406e-05	0.08673469387755102	1.406984366099543	1.4237497688825367	0.016765402782993766	0.08915598318061946
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	4	0.0008762126466251561	3.4526493839170946e-05	0.12244897959183673	0.8384160475350272	0.8421129466570781	0.003696899122050956	0.12372940864450616
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	5	0.0008955069420544692	4.900706087151985e-05	0.16326530612244897	0.9957089415719095	1.0039150852596121	0.008206143687702672	0.16503043449414523
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	0	0.00011936187739996639	0.00019639902112034147	0.030612244897959183	3.0929076115941934	3.092146031102724	0.0007615804914693491	0.031004163845626428
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	1	0.0004702688737145618	0.00022257229899980135	0.02040816326530612	1.940188696195911	1.9319500987056497	0.008238597490261235	0.021924864187046606
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	2	0.0007311082631235712	0.0009376049395931618	0.04081632653061224	3.049192753230548	3.0408488962557083	0.008343856974839525	0.04331942543081293
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	3	0.001028098770049852	0.002012132411009837	0.10204081632653061	3.3992476508790372	3.3998786359385447	0.0006309850595074273	0.10514414601354104
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	4	0.0006184706448051407	0.00045035683405114657	0.02040816326530612	2.7321412499358324	2.7345784603275183	0.0024372103916858734	0.021720711783330994
