key	params	numel	extra_rel	attn_rel	full_rel	extra_over_full	max_extra_rel	max_abs_extra
features.5.5|move_v_shift	2	768	0.016268762138586072	0.025744887499945017	0.014772530616079136	1.1012847129169843	0.017386719865977018	0.0003866516053676605
features.7.1|move_v_shift	2	1536	0.015139010660388282	0.01775169519531925	0.0068547246910340654	2.208551231851807	0.016317171899669303	0.0005414942279458046
features.7.1|softmax_quant	1	49	0.005031518177164463	0.0052486374861014816	0.005031336313283964	1.0000361462381313	0.005031518177164463	0.00047999992966651917
features.7.1|move_shift	8	46080	0.0021037113036405557	0.002359037848580043	0.0023566795276774495	0.892659048009723	0.013062519865303572	0.0007544234395027161
features.5.5|move_shift	8	13824	0.001887809381743967	0.0022379156642554953	0.002360332954122314	0.7998063910631397	0.014368657117239647	0.0007325652986764908
features.7.1|mlp	4	4722432	0.0016238727653698193	0.0	0.0016238727653698193	1.0	0.0019340742875284653	0.0007472038269042969
features.5.5|softmax_quant	1	49	0.0015627349859505637	0.0033665196700575755	0.0032912725347976953	0.47481178462986817	0.0015627349859505637	0.0001808367669582367
features.5.5|mlp	4	1181568	0.0014327451473287278	0.0	0.0014327451473287278	1.0	0.001833964017911462	0.0017462968826293945
features.7.1|attn_proj	2	590592	0.0010551728521595357	0.0019780071548106066	0.0016677210818427754	0.6327034320352929	0.0012177081444907153	0.00042560696601867676
features.7.1|attn_qkv	4	1770240	0.000992385898804005	0.0020691344915039723	0.0019056716142435146	0.5207538861295091	0.0011812867967930752	0.0003510117530822754
features.5.5|attn_proj	2	147840	0.0008716078711098261	0.0022227982658556446	0.0020267830221560395	0.4300449833957224	0.0008940218984074108	0.00021560065215453506
features.7.1|act_quant	8	3592	0.0008292284785580483	0.0011653852129335691	0.0009111071733817042	0.9101327514306013	0.0063344084477460014	0.0005604829639196396
features.5.5|attn_qkv	4	442752	0.0007089167104135993	0.0019901565807959667	0.0019031527712820308	0.37249595571670685	0.0008573954538377362	0.00021231360733509064
features.5.5|act_quant	8	1866	0.0005640625825080215	0.0010681026788004811	0.0009035308577960946	0.6242870153697805	0.005342398424491173	0.0010471343994140625
features.5.5|norm	4	1536	0.0001239793108112144	0.0	0.0001239793108112144	1.0	0.0002837278641124382	0.00040030479431152344
features.7.1|norm	4	3072	6.443682131861845e-05	0.0	6.443682131861845e-05	1.0	0.00022038232942555805	0.0003647804260253906
features.7.1|relpos	1	4056	5.5764403763654316e-05	0.00010777332802583809	0.00010674914954631404	0.5223873351746043	5.5764403763654316e-05	0.0003021359443664551
features.5.5|relpos	1	2028	4.118285781324456e-05	0.00010470575998068759	0.00010323111912027971	0.3989384031113754	4.118285781324456e-05	0.0001571178436279297
