key	params	numel	extra_rel	attn_rel	full_rel	extra_over_full	max_extra_rel	max_abs_extra
features.5.5.attn.move_v_aft|move_v_shift	1	384	0.017386719865977018	0.0275208782473	0.015787483646352976	1.1012977277093476	0.017386719865977018	0.0003866516053676605
features.7.1.attn.move_v_aft|move_v_shift	1	768	0.016317171899669303	0.01910945405872577	0.007360424881628466	2.2168790745214686	0.016317171899669303	0.0005414942279458046
features.5.5.attn.move_v_b4|move_v_shift	1	384	0.015342007808694845	0.02427227555305951	0.013931174136205182	1.1012716989031888	0.015342007808694845	0.000385066494345665
features.5.5.attn.proj.move_b4|move_shift	1	384	0.014368657117239647	0.022817382368356082	0.013080326397220935	1.0984937746119572	0.014368657117239647	0.0003888647770509124
features.7.1.attn.move_v_b4|move_v_shift	1	768	0.014184988029862813	0.016653606897121583	0.006446766806764914	2.200325908326294	0.014184988029862813	0.0005399505607783794
features.5.5.attn.proj.move_aft|move_shift	1	384	0.013967380028905069	0.022175623783916184	0.012693303283186576	1.1003739308274563	0.013967380028905069	0.0003888647770509124
features.7.1.attn.proj.move_b4|move_shift	1	768	0.013062519865303572	0.015321874088006648	0.005928785576896646	2.203237019771087	0.013062519865303572	0.0005330761196091771
features.7.1.attn.proj.move_aft|move_shift	1	768	0.011101193477374899	0.013008528944510895	0.0050473698433877705	2.199401633291812	0.011101193477374899	0.0005342415533959866
features.7.1.attn.quant_x_4_qkv|act_quant	2	1536	0.006303461422678441	0.008509365678736436	0.004539445833143105	1.3885971227271885	0.0063344084477460014	0.0005604829639196396
features.5.5.attn.quant_x_4_qkv|act_quant	2	768	0.005208454451353742	0.009211783071409171	0.00578937938815036	0.899656785667623	0.005342398424491173	0.00033549219369888306
features.7.1.attn.quan_a_softmax_fn|softmax_quant	1	49	0.005031518177164463	0.0052486374861014816	0.005031336313283964	1.0000361462381313	0.005031518177164463	0.00047999992966651917
features.5.5.mlp.fc1.move_aft|move_shift	1	384	0.004124307627171239	0.0	0.004124307627171239	1.0	0.004124307627171239	0.0005801673978567123
features.5.5.attn.move_qkx_aft|move_shift	1	4608	0.0033385328464629574	0.002407720409619583	0.002376093229111426	1.405051285681854	0.0033385328464629574	0.0007325652986764908
features.7.1.mlp.fc2.move_b4|move_shift	1	3072	0.003282518840349597	0.0	0.003282518840349597	1.0	0.003282518840349597	0.000575874000787735
features.7.1.attn.move_qkx_aft|move_shift	1	18432	0.003219479057151644	0.0023093390015925122	0.002303107634046388	1.3978847577762834	0.003219479057151644	0.0007544234395027161
features.5.5.mlp.fc1.move_b4|move_shift	1	384	0.002752345996943777	0.0	0.002752345996943777	1.0	0.002752345996943777	0.0005810782313346863
features.5.5.mlp.fc2.move_aft|move_shift	1	1536	0.0026551164628252568	0.0	0.0026551164628252568	1.0	0.0026551164628252568	0.00040224380791187286
features.7.1.mlp.fc1.move_aft|move_shift	1	768	0.002336650432805089	0.0	0.002336650432805089	1.0	0.002336650432805089	0.00035066792042925954
features.7.1.mlp.fc1.move_b4|move_shift	1	768	0.002207004494791226	0.0	0.002207004494791226	1.0	0.002207004494791226	0.0003517697914503515
features.7.1.mlp.fc1|mlp	2	2362368	0.001767966752262407	0.0	0.001767966752262407	1.0	0.0019340742875284653	0.0005418509244918823
features.7.1.attn.move_qkx_b4|move_shift	1	18432	0.0017137672029200412	0.0024048626458825044	0.002359292093216884	0.7263904320483384	0.0017137672029200412	0.0007510855793952942
features.5.5.mlp.fc1|mlp	2	591360	0.001564553907051558	0.0	0.001564553907051558	1.0	0.001833964017911462	0.0005391985177993774
features.5.5.attn.quan_a_softmax_fn|softmax_quant	1	49	0.0015627349859505637	0.0033665196700575755	0.0032912725347976953	0.47481178462986817	0.0015627349859505637	0.0001808367669582367
features.7.1.mlp.fc2.move_aft|move_shift	1	3072	0.0015024545974740423	0.0	0.0015024545974740423	1.0	0.0015024545974740423	0.0003043860197067261
features.7.1.mlp.fc2|mlp	2	2360064	0.0014965846685415026	0.0	0.0014965846685415026	1.0	0.0015132698870331605	0.0007472038269042969
features.5.5.mlp.fc2.move_b4|move_shift	1	1536	0.001411555809785241	0.0	0.001411555809785241	1.0	0.001411555809785241	0.0005209818482398987
features.5.5.mlp.fc2|mlp	2	590208	0.0013220636353006917	0.0	0.0013220636353006917	1.0	0.001325004607696331	0.0017462968826293945
features.7.1.attn.v|attn_qkv	2	590592	0.0011802590910656118	0.0023551210047576677	0.002036746688954401	0.5794825136902606	0.0011812867967930752	0.0003510117530822754
features.7.1.attn.proj|attn_proj	2	590592	0.0010551728521595357	0.0019780071548106066	0.0016677210818427754	0.6327034320352929	0.0012177081444907153	0.00042560696601867676
features.5.5.attn.move_qkx_b4|move_shift	1	4608	0.0009624665783167861	0.0024736923560765775	0.0024675763405846937	0.3900453098398281	0.0009624665783167861	0.0003836303949356079
features.7.1.attn.k|attn_qkv	1	589824	0.0009362440550863629	0.0019550762162410086	0.0018501114876489462	0.5060473713809039	0.0009362440550863629	0.00029115541838109493
