pair	before	after	top1_before	top1_after	top1_delta	name	module	parent_module	stage	kind	quantizer	numel	changed	changed_fraction	mean_abs_bin_delta	max_abs_bin_delta	before_near_fraction	after_near_fraction	changed_and_near_fraction	changed_given_near	mean_before_boundary_dist	mean_after_boundary_dist	scale_ratio_after_over_before
phase2s->phase2z	phase2s	phase2z	80.124	80.084	-0.03999999999999204	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	lsq_weight	589824	7866	0.013336181640625	0.013336181640625	1	0.1783854216337204	0.1785007119178772	0.013336181640625	0.07276797690962747	0.22485335171222687	0.22484475374221802	1.0
phase2s->phase2z	phase2s	phase2z	80.124	80.084	-0.03999999999999204	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	lsq_weight	2359296	30321	0.012851715087890625	0.012851715087890625	1	0.18378321826457977	0.18393367528915405	0.012851715087890625	0.06821264906964344	0.22298568487167358	0.2229890525341034	1.0
phase2s->phase2z	phase2s	phase2z	80.124	80.084	-0.03999999999999204	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	lsq_weight	589824	7345	0.0124528668820858	0.0124528668820858	1	0.2086944580078125	0.20855712890625	0.0124528668820858	0.0578378335813785	0.2115325927734375	0.21153339743614197	1.0
phase2s->phase2z	phase2s	phase2z	80.124	80.084	-0.03999999999999204	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	lsq_weight	2359296	24879	0.01054509449750185	0.01054509449750185	1	0.21202172338962555	0.21207809448242188	0.01054509449750185	0.048538423569395375	0.2116118222475052	0.2116185873746872	1.0
phase2s->phase2z	phase2s	phase2z	80.124	80.084	-0.03999999999999204	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	lsq_weight	147456	1315	0.00891791470348835	0.00891791470348835	1	0.1690266877412796	0.1686604768037796	0.00891791470348835	0.051185239967303724	0.2258852869272232	0.22588522732257843	1.0
phase2s->phase2z	phase2s	phase2z	80.124	80.084	-0.03999999999999204	features.5.5.attn.qkv.weight	features.5.5.attn.qkv	features.5.5.attn	features.5.5	attn_qkv	lsq_weight	442368	3403	0.007692690473049879	0.007692690473049879	1	0.1435886025428772	0.14319299161434174	0.007692690473049879	0.051714181508722874	0.23400647938251495	0.2340089976787567	1.0
phase2s->phase2z	phase2s	phase2z	80.124	80.084	-0.03999999999999204	features.7.1.attn.qkv.weight	features.7.1.attn.qkv	features.7.1.attn	features.7.1	attn_qkv	lsq_weight	1769472	12097	0.006836502812802792	0.006836502812802792	1	0.14094091951847076	0.1409199982881546	0.006836502812802792	0.04680559639700989	0.23418906331062317	0.23418249189853668	1.0
phase2s->phase2z	phase2s	phase2z	80.124	80.084	-0.03999999999999204	features.5.5.mlp.fc2.weight	features.5.5.mlp.fc2	features.5.5.mlp	features.5.5	mlp_fc2	lsq_weight	589824	2685	0.0045522055588662624	0.0045522055588662624	1	0.1331871896982193	0.1332431435585022	0.0045522055588662624	0.03343669443718011	0.23940740525722504	0.23941251635551453	1.0
ckpt10->phase2z	ckpt10	phase2z	79.922	80.084	0.16200000000000614	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	lsq_weight	589824	34998	0.0593363456428051	0.0593363456428051	1	0.2354448139667511	0.20855712890625	0.0593346506357193	0.23068658211827986	0.2084757536649704	0.21153339743614197	1.0
ckpt10->phase2z	ckpt10	phase2z	79.922	80.084	0.16200000000000614	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	lsq_weight	2359296	138584	0.0587395578622818	0.0587395578622818	1	0.23403294384479523	0.21207809448242188	0.05873701348900795	0.23034217726198353	0.2093985229730606	0.2116185873746872	1.0
ckpt10->phase2z	ckpt10	phase2z	79.922	80.084	0.16200000000000614	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	lsq_weight	2359296	104656	0.0443589948117733	0.0443589948117733	1	0.17139604687690735	0.18393367528915405	0.044356875121593475	0.21816244973347537	0.22622257471084595	0.2229890525341034	1.0
ckpt10->phase2z	ckpt10	phase2z	79.922	80.084	0.16200000000000614	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	lsq_weight	589824	24097	0.0408545583486557	0.0408545583486557	1	0.1675211638212204	0.1785007119178772	0.0408528633415699	0.2078836348577788	0.22760377824306488	0.22484475374221802	1.0
ckpt10->phase2z	ckpt10	phase2z	79.922	80.084	0.16200000000000614	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	lsq_weight	147456	5403	0.0366414375603199	0.0366414375603199	1	0.1792127788066864	0.1686604768037796	0.0366414375603199	0.18599607559640607	0.22492803633213043	0.22588522732257843	1.0
ckpt10->phase2z	ckpt10	phase2z	79.922	80.084	0.16200000000000614	features.7.1.attn.qkv.weight	features.7.1.attn.qkv	features.7.1.attn	features.7.1	attn_qkv	lsq_weight	1769472	58770	0.0332132987678051	0.0332132987678051	1	0.14812158048152924	0.1409199982881546	0.0332048200070858	0.19437469605692792	0.23371350765228271	0.23418249189853668	1.0
ckpt10->phase2z	ckpt10	phase2z	79.922	80.084	0.16200000000000614	features.5.5.attn.qkv.weight	features.5.5.attn.qkv	features.5.5.attn	features.5.5	attn_qkv	lsq_weight	442368	14019	0.0316908098757267	0.0316908098757267	1	0.1488715261220932	0.14319299161434174	0.0316908098757267	0.18714957013937097	0.23389266431331635	0.2340089976787567	1.0
ckpt10->phase2z	ckpt10	phase2z	79.922	80.084	0.16200000000000614	features.5.5.mlp.fc2.weight	features.5.5.mlp.fc2	features.5.5.mlp	features.5.5	mlp_fc2	lsq_weight	589824	11417	0.01935662142932415	0.01935662142932415	1	0.1356658935546875	0.1332431435585022	0.01935492642223835	0.13088290932437546	0.23935583233833313	0.23941251635551453	1.0
