group_type	key	params	numel	phase2w_delta_l2	cmp_label	cmp_delta_l2	cmp_over_phase2w	delta_cosine_to_phase2w	extra_l2_vs_phase2w	extra_over_phase2w	phase2w_top1	cmp_top1	delta_top1
kind	move_shift	82	286208	0.11868882924448498	nofeat	0.11896203276193806	1.0023018469319493	0.7346736239045193	0.08655984777368873	0.7293007128361311	80.54	80.464	-0.07600000000000762
kind	act_quant	102	21772	0.046199191029466374	nofeat	0.05201702334999466	1.125929311550447	0.9094185877221437	0.021661203148373793	0.4688654209238865	80.54	80.464	-0.07600000000000762
kind	softmax_quant	12	588	0.0074321957159936645	nofeat	0.00771974117863084	1.0386891671889633	0.9199109080341222	0.0030451345842414613	0.4097220660764495	80.54	80.464	-0.07600000000000762
kind	mlp	48	17274432	0.8549345643470175	nofeat	0.846223766334898	0.989811152367231	0.9461884433556176	0.27917309684252634	0.3265432332306664	80.54	80.464	-0.07600000000000762
kind	attn_qkv	48	6474048	0.5563035499434719	nofeat	0.5555690858848591	0.9986797422761595	0.9505030080198728	0.17491757419166265	0.3144282904709788	80.54	80.464	-0.07600000000000762
kind	relpos	12	23322	0.04389346826309617	nofeat	0.044042205618909994	1.0033885988439624	0.9566073677817408	0.012953466685806221	0.2951114869338536	80.54	80.464	-0.07600000000000762
kind	attn_proj	24	2160960	0.29871169006838233	nofeat	0.2986173640237902	0.9996842237926123	0.9606190150441629	0.08381894097870048	0.2806014754879941	80.54	80.464	-0.07600000000000762
kind	norm	56	24576	0.024695148069020838	nofeat	0.024650771563228153	0.9982030273449402	0.97671314624273	0.005324844639568953	0.21562311044608704	80.54	80.464	-0.07600000000000762
kind	move_v_shift	24	8832	0.017854578791903167	nofeat	0.01784594692263389	0.9995165459028812	0.989430362087753	0.002595327802326707	0.14535922872085094	80.54	80.464	-0.07600000000000762
kind	proj_move_shift	24	8832	0.017749075154907354	nofeat	0.017753929344981607	1.000273489747037	0.9896114915290508	0.002558743269221722	0.1441620617913868	80.54	80.464	-0.07600000000000762
kind	other	34	1563360	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
kind	weight_quant	65	1159	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
kind	head	2	769000	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
