group_type	key	params	numel	phase2w_delta_l2	cmp_label	cmp_delta_l2	cmp_over_phase2w	delta_cosine_to_phase2w	extra_l2_vs_phase2w	extra_over_phase2w	phase2w_top1	cmp_top1	delta_top1
module_kind	features.5.5.attn.move_qkx_aft|move_shift	1	4608	0.024666252569226048	nofeat	0.025657754762322182	1.0401967096669213	-0.004810912343070766	0.035676797867999606	1.446380951783104	80.54	80.464	-0.07600000000000762
module_kind	features.7.1.attn.move_qkx_aft|move_shift	1	18432	0.03431975920672099	nofeat	0.034722307427785225	1.0117293428150103	0.0009712337250785949	0.048797232869173805	1.4218407703634943	80.54	80.464	-0.07600000000000762
module_kind	features.5.5.mlp.fc2.input_quant_fn|act_quant	1	14	0.015283115545911585	nofeat	0.028013054764123527	1.8329413711471516	0.9909069154338771	0.013032169424098258	0.8527168027323145	80.54	80.464	-0.07600000000000762
module_kind	features.7.1.attn.move_qkx_b4|move_shift	1	18432	0.08805800236028426	nofeat	0.08762358788775486	0.995066723513077	0.7774964705735679	0.05859901086713747	0.6654592347823539	80.54	80.464	-0.07600000000000762
module_kind	features.7.1.attn.quan_a_qkx_fn|act_quant	1	1176	0.01859649071259114	nofeat	0.01838710911345323	0.9887408004889793	0.8371670424926276	0.010554653131932339	0.5675615520720849	80.54	80.464	-0.07600000000000762
module_kind	features.7.1.attn.quan_a_v_fn|act_quant	1	768	0.018095477176630816	nofeat	0.018871846759059323	1.0429040679530208	0.8528372052472907	0.010055518837700958	0.5556923832153504	80.54	80.464	-0.07600000000000762
module_kind	features.5.5.attn.proj.input_quant_fn|act_quant	1	49	0.005148997590921737	nofeat	0.004266855274944261	0.828676883140751	0.8384027100623683	0.002806914801435648	0.5451381073443412	80.54	80.464	-0.07600000000000762
module_kind	features.7.1.mlp.fc2.input_quant_fn|act_quant	1	7	0.001416025728208163	nofeat	0.001657120062867314	1.170261267049315	0.9029020899443827	0.0007168067169717646	0.5062102352326683	80.54	80.464	-0.07600000000000762
module_kind	features.5.5.mlp.fc2|mlp	2	590208	0.3408342415721401	nofeat	0.3171426737722487	0.9304894728575066	0.8765735903623461	0.16505886364621455	0.48427899404960056	80.54	80.464	-0.07600000000000762
module_kind	features.7.1.attn.quant_x_4_qkv.input_quant_fn|act_quant	1	49	0.006934480931464553	nofeat	0.007350275756619594	1.0599604828774438	0.8998302653384841	0.0032224617049529712	0.4647012136598942	80.54	80.464	-0.07600000000000762
module_kind	features.7.1.mlp.fc1.input_quant_fn|act_quant	1	7	0.001646739504117725	nofeat	0.0016609954909547655	1.0086570989530481	0.8947571583266978	0.0007589000070882547	0.4608500647434527	80.54	80.464	-0.07600000000000762
module_kind	features.7.1.attn.quan_a_softmax_fn|softmax_quant	1	49	0.005519823279797971	nofeat	0.005904729345061523	1.0697315920732953	0.903617375957887	0.002535934506629239	0.45942313332938	80.54	80.464	-0.07600000000000762
