group_type	key	params	numel	phase2w_delta_l2	cmp_label	cmp_delta_l2	cmp_over_phase2w	delta_cosine_to_phase2w	extra_l2_vs_phase2w	extra_over_phase2w	phase2w_top1	cmp_top1	delta_top1
stage_kind	features.5.5|act_quant	8	1866	0.03262887006859764	phase2bm_fc2actmse	0.08695550109085093	2.6649865872780496	-0.20279122763631982	0.09887691883852594	3.0303506873100736	80.54	80.536	-0.0040000000000048885
stage_kind	features.7.1|act_quant	8	3592	0.03270660621072904	phase2bm_fc2actmse	0.08817836311072272	2.6960413606532123	0.22330673094541673	0.08693161596436282	2.6579222376134477	80.54	80.536	-0.0040000000000048885
stage_kind	features.7.1|move_shift	6	44544	0.09878092948075419	phase2bm_fc2actmse	0.10023978315204397	1.0147685760698781	0.2416269300926544	0.12255860733024078	1.2407112179898983	80.54	80.536	-0.0040000000000048885
stage_kind	features.5.5|move_shift	6	13056	0.06579791910345481	phase2bm_fc2actmse	0.06746772229186228	1.025377750712481	0.3859874099559661	0.07385310922059743	1.1224231742720823	80.54	80.536	-0.0040000000000048885
stage_kind	features.5.5|softmax_quant	1	49	0.004976854842230678	phase2bm_fc2actmse	0.004742627265631561	0.9529366268407914	0.38258539943821335	0.005403794033522623	1.0857849394499492	80.54	80.536	-0.0040000000000048885
stage_kind	features.7.1|attn_qkv	4	1770240	0.4665602085555133	phase2bm_fc2actmse	0.46761636883314545	1.0022637170042898	0.44570909523299707	0.49179439677720127	1.054085598726505	80.54	80.536	-0.0040000000000048885
stage_kind	features.5.5|relpos	1	2028	0.020155503070653773	phase2bm_fc2actmse	0.0208490693806352	1.0344107665063071	0.4923035025861293	0.02066816355963666	1.0254352613867186	80.54	80.536	-0.0040000000000048885
stage_kind	features.7.1|mlp	4	4722432	0.7183930821197999	phase2bm_fc2actmse	0.7166371179746672	0.997555705659148	0.5377306264211287	0.6899136424720889	0.960356745691822	80.54	80.536	-0.0040000000000048885
stage_kind	features.7.1|attn_proj	2	590592	0.24839727972536113	phase2bm_fc2actmse	0.2487183517034637	1.001292574453543	0.5646136921878556	0.23194239947110232	0.933755795262927	80.54	80.536	-0.0040000000000048885
stage_kind	features.5.5|attn_qkv	4	442752	0.3029772457996554	phase2bm_fc2actmse	0.3032382276716067	1.000861390997408	0.6070513980839123	0.2687076599697735	0.8868905625588044	80.54	80.536	-0.0040000000000048885
stage_kind	features.5.5|mlp	4	1181568	0.4634916276241017	phase2bm_fc2actmse	0.4637902100705951	1.0006442024595439	0.6585403366734881	0.3831479275216176	0.8266555525191839	80.54	80.536	-0.0040000000000048885
stage_kind	features.7.1|norm	4	3072	0.017238195234350214	phase2bm_fc2actmse	0.01742738459884619	1.0109750099661814	0.7108230644752418	0.013182675985891623	0.764736435959535	80.54	80.536	-0.0040000000000048885
stage_kind	features.5.5|attn_proj	2	147840	0.16591402957119084	phase2bm_fc2actmse	0.1666102976526888	1.0041965594066848	0.709385475178653	0.1267571988658554	0.7639932511642488	80.54	80.536	-0.0040000000000048885
stage_kind	features.7.1|relpos	1	4056	0.03899220758218617	phase2bm_fc2actmse	0.03800312539179773	0.9746338498967084	0.7616514071681584	0.02659624770471812	0.6820913550139382	80.54	80.536	-0.0040000000000048885
stage_kind	features.5.5|norm	4	1536	0.017683183062256896	phase2bm_fc2actmse	0.018182709999073992	1.0282487001948926	0.8058229079350895	0.01118554238755877	0.6325525414840762	80.54	80.536	-0.0040000000000048885
stage_kind	features.7.1|move_v_shift	2	1536	0.008725774164069514	phase2bm_fc2actmse	0.009156489887485755	1.049361319158341	0.829897854813915	0.005231344540008222	0.5995278403547903	80.54	80.536	-0.0040000000000048885
stage_kind	features.7.1|proj_move_shift	2	1536	0.008722046490201129	phase2bm_fc2actmse	0.00923900816683165	1.0592706857514813	0.8346198005512122	0.005188538806119616	0.5948763070626524	80.54	80.536	-0.0040000000000048885
