group_type	key	params	numel	phase2w_delta_l2	cmp_label	cmp_delta_l2	cmp_over_phase2w	delta_cosine_to_phase2w	extra_l2_vs_phase2w	extra_over_phase2w	phase2w_top1	cmp_top1	delta_top1
param	features.7.1.mlp.fc2.input_quant_fn.s	1	7	0.001416025728208163	phase2bm_fc2actmse	0.08239660191971206	58.18863335483078	0.6814077687336918	0.08143830577981605	57.511882840481974	80.54	80.536	-0.0040000000000048885
param	features.5.5.mlp.fc2.input_quant_fn.s	1	14	0.015283115545911585	phase2bm_fc2actmse	0.08189459612621136	5.358501405043629	-0.8922092156137268	0.09577935452631518	6.26700454096464	80.54	80.536	-0.0040000000000048885
param	features.5.5.attn.move_qkx_aft.bias	1	4608	0.024666252569226048	phase2bm_fc2actmse	0.025422466010074155	1.0306578163312723	-0.0023732131549035803	0.03546409629706803	1.4377577703600393	80.54	80.536	-0.0040000000000048885
param	features.7.1.attn.move_qkx_aft.bias	1	18432	0.03431975920672099	phase2bm_fc2actmse	0.03527524631135531	1.027840728685742	0.007923200135712068	0.04902045043264691	1.4283448242564305	80.54	80.536	-0.0040000000000048885
param	features.7.1.attn.move_qkx_b4.bias	1	18432	0.08805800236028426	phase2bm_fc2actmse	0.08862573708898928	1.0064472814904677	0.2106924938739429	0.11099620327062269	1.260489680614013	80.54	80.536	-0.0040000000000048885
param	features.5.5.attn.move_qkx_b4.bias	1	4608	0.05126707661520146	phase2bm_fc2actmse	0.052342377384892086	1.0209744896858772	0.2662002882249404	0.06276442055309839	1.2242636931337683	80.54	80.536	-0.0040000000000048885
param	features.5.5.attn.quant_x_4_qkv.input_quant_fn.s	1	49	0.004761058540103719	phase2bm_fc2actmse	0.004275652851146426	0.898046687544674	0.21740985001983712	0.00566545861812465	1.1899577731302646	80.54	80.536	-0.0040000000000048885
param	features.5.5.attn.quan_a_v_fn.s	1	384	0.012692206947412611	phase2bm_fc2actmse	0.012621681527434736	0.9944434076539973	0.3374446716978009	0.014569958927508902	1.1479452697136399	80.54	80.536	-0.0040000000000048885
param	features.5.5.attn.quan_a_qkx_fn.s	1	588	0.014513371067557977	phase2bm_fc2actmse	0.014114818050697158	0.9725389080865084	0.3290334570282831	0.01658489287972897	1.142731954039369	80.54	80.536	-0.0040000000000048885
param	features.7.1.attn.quan_a_qkx_fn.s	1	1176	0.01859649071259114	phase2bm_fc2actmse	0.01798598490470506	0.9671709131942446	0.3373267800241096	0.02106346574055533	1.1326580948035467	80.54	80.536	-0.0040000000000048885
param	features.7.1.attn.q.weight	1	589824	0.27552483717395515	phase2bm_fc2actmse	0.27576606265602915	1.0008755126563116	0.3819772120834757	0.3064560425765887	1.1122628570254989	80.54	80.536	-0.0040000000000048885
param	features.7.1.attn.k.weight	1	589824	0.27221355350768917	phase2bm_fc2actmse	0.2736946803856507	1.0054410475116908	0.39180929443767576	0.301042777469702	1.105906644215636	80.54	80.536	-0.0040000000000048885
param	features.5.5.attn.quan_a_softmax_fn.s	1	49	0.004976854842230678	phase2bm_fc2actmse	0.004742627265631561	0.9529366268407914	0.38258539943821335	0.005403794033522623	1.0857849394499492	80.54	80.536	-0.0040000000000048885
param	features.7.1.mlp.fc1.weight	1	2359296	0.5041203007250843	phase2bm_fc2actmse	0.5039212719947784	0.9996051959621154	0.4525820835713721	0.5273791548535212	1.0461375074461061	80.54	80.536	-0.0040000000000048885
param	features.5.5.attn.proj.input_quant_fn.s	1	49	0.005148997590921737	phase2bm_fc2actmse	0.00438979592436212	0.8525535013070943	0.37546345579297197	0.00536742477924081	1.0424213032657434	80.54	80.536	-0.0040000000000048885
param	features.5.5.attn.relative_position_bias_table	1	2028	0.020155503070653773	phase2bm_fc2actmse	0.0208490693806352	1.0344107665063071	0.4923035025861293	0.02066816355963666	1.0254352613867186	80.54	80.536	-0.0040000000000048885
param	features.7.1.attn.quan_a_v_fn.s	1	768	0.018095477176630816	phase2bm_fc2actmse	0.018008972066505164	0.9952195176020355	0.4781937162361476	0.018441824792222398	1.0191400100815726	80.54	80.536	-0.0040000000000048885
param	features.5.5.attn.q.weight	1	147456	0.16907910468164297	phase2bm_fc2actmse	0.16966827695547843	1.003484595420261	0.5067617734214552	0.16822528101406814	0.994950152656755	80.54	80.536	-0.0040000000000048885
param	features.5.5.attn.k.weight	1	147456	0.16945382582826024	phase2bm_fc2actmse	0.16922989068910957	0.9986784887384152	0.5202960587382477	0.16586938475646165	0.9788470926857008	80.54	80.536	-0.0040000000000048885
