pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
phase2fw_vs_fx100wm	329	50	41	40	-1	82.0	80.0	0.005840937606990337	0.04929136112332344
phase2fw_vs_fx100wm	184	50	38	37	-1	76.0	74.0	0.006050934083759785	0.041322480887174606
phase2fw_vs_fx100wm	475	50	47	46	-1	94.0	92.0	0.006151190493255854	0.03967095538973808
phase2fw_vs_fx100wm	557	50	42	41	-1	84.0	82.0	0.006175162736326456	0.03246184438467026
phase2fw_vs_fx100wm	655	50	40	39	-1	80.0	78.0	0.006354300770908594	0.015814781188964844
phase2fw_vs_fx100wm	854	50	45	44	-1	90.0	88.0	0.0067489128559827805	0.04333578050136566
phase2fw_vs_fx100wm	640	50	49	48	-1	98.0	96.0	0.006891954690217972	0.02889062836766243
phase2fw_vs_fx100wm	977	50	33	32	-1	66.0	64.0	0.007024599239230156	0.02626320905983448
phase2fw_vs_fx100wm	502	50	36	35	-1	72.0	70.0	0.007110428996384144	0.02698446251451969
phase2fw_vs_fx100wm	463	50	30	29	-1	60.0	58.0	0.007172651123255491	0.04605836793780327
phase2fw_vs_fx100wm	140	50	46	45	-1	92.0	90.0	0.007481241133064032	0.03496401757001877
phase2fw_vs_fx100wm	500	50	45	44	-1	90.0	88.0	0.007608069572597742	0.027029410004615784
phase2fw_vs_fx100wm	907	50	27	26	-1	54.0	52.0	0.008029679767787457	0.0030275441240519285
phase2fw_vs_fx100wm	402	50	34	33	-1	68.0	66.0	0.008173085749149323	0.03140275925397873
phase2fw_vs_fx100wm	458	50	49	48	-1	98.0	96.0	0.008210178464651108	0.07569079101085663
phase2fw_vs_fx100wm	966	50	33	32	-1	66.0	64.0	0.008482648991048336	0.0417870432138443
phase2fw_vs_fx100wm	610	50	42	41	-1	84.0	82.0	0.008733469992876053	0.0368337519466877
phase2fw_vs_fx100wm	929	50	41	40	-1	82.0	80.0	0.008735804818570614	0.042976122349500656
phase2fw_vs_fx100wm	195	50	46	45	-1	92.0	90.0	0.009564665146172047	0.038179911673069
phase2fw_vs_fx100wm	338	50	45	44	-1	90.0	88.0	0.009701740927994251	0.07360842078924179
phase2fw_vs_fx100wm	828	50	34	33	-1	68.0	66.0	0.009807719849050045	0.06468549370765686
phase2fw_vs_fx100wm	375	50	47	46	-1	94.0	92.0	0.009830331429839134	0.07178118079900742
phase2fw_vs_fx100wm	737	50	36	35	-1	72.0	70.0	0.010047447867691517	0.047576867043972015
phase2fw_vs_fx100wm	889	50	36	35	-1	72.0	70.0	0.010112362913787365	0.04739901423454285
phase2fw_vs_fx100wm	67	50	42	41	-1	84.0	82.0	0.010297981090843678	0.03537174314260483
phase2fw_vs_fx100wm	88	50	49	48	-1	98.0	96.0	0.010898875072598457	0.08845411241054535
phase2fw_vs_fx100wm	928	50	37	36	-1	74.0	72.0	0.011289848946034908	0.04883628711104393
phase2fw_vs_fx100wm	829	50	46	45	-1	92.0	90.0	0.011322591453790665	0.09390287101268768
phase2fw_vs_fx100wm	263	50	48	47	-1	96.0	94.0	0.011973191052675247	0.06516961008310318
phase2fw_vs_fx100wm	344	50	50	49	-1	100.0	98.0	0.012799781747162342	0.09044316411018372
phase2fw_vs_fx100wm	603	50	46	45	-1	92.0	90.0	0.0128547428175807	0.04702259972691536
phase2fw_vs_fx100wm	960	50	34	33	-1	68.0	66.0	0.013231582939624786	0.04319412261247635
phase2fw_vs_fx100wm	595	50	43	42	-1	86.0	84.0	0.013599421828985214	0.019495362415909767
phase2fw_vs_fx100wm	310	50	41	40	-1	82.0	80.0	0.013904549181461334	0.08950986713171005
phase2fw_vs_fx100wm	827	50	38	37	-1	76.0	74.0	0.02043946459889412	0.08122559636831284
phase2fw_vs_fx100wm	476	50	49	49	0	98.0	98.0	-0.004558616317808628	-0.06663554161787033
phase2fw_vs_fx100wm	167	50	17	17	0	34.0	34.0	-0.003968983422964811	0.01627478562295437
phase2fw_vs_fx100wm	512	50	49	49	0	98.0	98.0	-0.003536235773935914	-0.10031250864267349
phase2fw_vs_fx100wm	543	50	38	38	0	76.0	76.0	-0.0033597436267882586	-0.018602857366204262
phase2fw_vs_fx100wm	987	50	21	21	0	42.0	42.0	-0.0033202662598341703	0.008124999701976776
phase2fw_vs_fx100wm	939	50	40	40	0	80.0	80.0	-0.003252799157053232	-0.006508092861622572
phase2fw_vs_fx100wm	846	50	28	28	0	56.0	56.0	-0.0032157758250832558	0.007240667473524809
phase2fw_vs_fx100wm	172	50	39	39	0	78.0	78.0	-0.0030839848332107067	0.0006995201110839844
phase2fw_vs_fx100wm	664	50	19	19	0	38.0	38.0	-0.0030168720986694098	0.012977066449820995
phase2fw_vs_fx100wm	246	50	42	42	0	84.0	84.0	-0.0028928180690854788	-0.025389060378074646
phase2fw_vs_fx100wm	821	50	45	45	0	90.0	90.0	-0.002582341665402055	-0.029999999329447746
phase2fw_vs_fx100wm	876	50	20	20	0	40.0	40.0	-0.0025342488661408424	0.004269399680197239
phase2fw_vs_fx100wm	409	50	31	31	0	62.0	62.0	-0.0021422114223241806	-0.004062518943101168
phase2fw_vs_fx100wm	904	50	33	33	0	66.0	66.0	-0.0019833757542073727	-0.0027678299229592085
phase2fw_vs_fx100wm	996	50	45	45	0	90.0	90.0	-0.0017640352016314864	0.0018537044525146484
phase2fw_vs_fx100wm	214	50	44	44	0	88.0	88.0	-0.001712205121293664	-0.02937500923871994
phase2fw_vs_fx100wm	516	50	28	28	0	56.0	56.0	-0.0016245797742158175	0.016720686107873917
phase2fw_vs_fx100wm	949	50	35	35	0	70.0	70.0	-0.001590927829965949	-0.0011761761270463467
phase2fw_vs_fx100wm	501	50	19	19	0	38.0	38.0	-0.0014757273020222783	-0.0034173489548265934
phase2fw_vs_fx100wm	459	50	32	32	0	64.0	64.0	-0.00144733558408916	-0.015398216433823109
phase2fw_vs_fx100wm	754	50	36	36	0	72.0	72.0	-0.0012974131386727095	0.010271596722304821
phase2fw_vs_fx100wm	631	50	33	33	0	66.0	66.0	-0.0012640304630622268	-0.011212015524506569
phase2fw_vs_fx100wm	579	50	38	38	0	76.0	76.0	-0.0011633889516815543	-0.025359325110912323
phase2fw_vs_fx100wm	711	50	39	39	0	78.0	78.0	-0.001156580401584506	0.007862558588385582
phase2fw_vs_fx100wm	794	50	37	37	0	74.0	74.0	-0.0010537732159718871	-0.0002329730923520401
phase2fw_vs_fx100wm	582	50	34	34	0	68.0	68.0	-0.0009539972525089979	0.001954040490090847
phase2fw_vs_fx100wm	817	50	32	32	0	64.0	64.0	-0.0007421621703542769	0.008467950858175755
phase2fw_vs_fx100wm	485	50	31	31	0	62.0	62.0	-0.0007165686693042517	0.007255077362060547
phase2fw_vs_fx100wm	231	50	20	20	0	40.0	40.0	-0.0006947855581529438	0.009999999776482582
phase2fw_vs_fx100wm	414	50	22	22	0	44.0	44.0	-0.0006846469477750361	0.015977248549461365
phase2fw_vs_fx100wm	619	50	32	32	0	64.0	64.0	-0.0006123374914750457	0.010625009424984455
phase2fw_vs_fx100wm	241	50	35	35	0	70.0	70.0	-0.0005335331661626697	-0.0020773219875991344
phase2fw_vs_fx100wm	982	50	41	41	0	82.0	82.0	-0.0005195076810196042	-0.02776108682155609
phase2fw_vs_fx100wm	206	50	48	48	0	96.0	96.0	-0.00041400149348191917	-0.04125000163912773
phase2fw_vs_fx100wm	622	50	31	31	0	62.0	62.0	-0.0003744855639524758	0.023125000298023224
phase2fw_vs_fx100wm	950	50	40	40	0	80.0	80.0	-0.0002392833266640082	0.011679048649966717
phase2fw_vs_fx100wm	266	50	31	31	0	62.0	62.0	-0.00023122623679228127	-0.00999998115003109
phase2fw_vs_fx100wm	985	50	50	50	0	100.0	100.0	-0.00016012699052225798	0.004039707127958536
phase2fw_vs_fx100wm	742	50	26	26	0	52.0	52.0	-7.961264054756612e-05	-0.0007120609516277909
phase2fw_vs_fx100wm	916	50	50	50	0	100.0	100.0	-6.490856321761385e-05	-0.003334627253934741
phase2fw_vs_fx100wm	744	50	16	16	0	32.0	32.0	8.379936480196193e-05	0.014753465540707111
phase2fw_vs_fx100wm	669	50	48	48	0	96.0	96.0	0.00010539226059336215	0.010314064100384712
phase2fw_vs_fx100wm	508	50	42	42	0	84.0	84.0	0.0003319408278912306	-0.0012499808799475431
phase2fw_vs_fx100wm	255	50	50	50	0	100.0	100.0	0.00040430069202557206	0.006067285314202309
phase2fw_vs_fx100wm	482	50	14	14	0	28.0	28.0	0.00044393024290911853	0.004118442535400391
phase2fw_vs_fx100wm	159	50	40	40	0	80.0	80.0	0.0004627283778972924	-0.015996742993593216
phase2fw_vs_fx100wm	538	50	40	40	0	80.0	80.0	0.0004928120761178434	0.014183550141751766
phase2fw_vs_fx100wm	411	50	40	40	0	80.0	80.0	0.0006164044025354087	0.01973670907318592
phase2fw_vs_fx100wm	210	50	46	46	0	92.0	92.0	0.0006209748098626733	-0.008750000037252903
phase2fw_vs_fx100wm	437	50	37	37	0	74.0	74.0	0.0006357478559948504	-0.0018277645576745272
phase2fw_vs_fx100wm	27	50	38	38	0	76.0	76.0	0.0008458572556264699	0.0006250095320865512
phase2fw_vs_fx100wm	347	50	47	47	0	94.0	94.0	0.0009547941153869033	-0.01765204407274723
phase2fw_vs_fx100wm	937	50	46	46	0	92.0	92.0	0.0009557348676025867	0.001249990426003933
phase2fw_vs_fx100wm	954	50	43	43	0	86.0	86.0	0.0009700515656732023	0.012146997265517712
phase2fw_vs_fx100wm	282	50	9	9	0	18.0	18.0	0.000979033880867064	0.014375000260770321
phase2fw_vs_fx100wm	545	50	44	44	0	88.0	88.0	0.0010172210168093443	-0.010312490165233612
phase2fw_vs_fx100wm	238	50	34	34	0	68.0	68.0	0.0010295637184754014	0.011562518775463104
phase2fw_vs_fx100wm	453	50	37	37	0	74.0	74.0	0.0011244271881878376	0.0050340937450528145
phase2fw_vs_fx100wm	903	50	43	43	0	86.0	86.0	0.001218198100104928	0.013848590664565563
phase2fw_vs_fx100wm	61	50	42	42	0	84.0	84.0	0.0012403336586430669	0.002026786794885993
phase2fw_vs_fx100wm	213	50	42	42	0	84.0	84.0	0.0012685853289440274	0.013727550394833088
phase2fw_vs_fx100wm	944	50	45	45	0	90.0	90.0	0.0012959245359525084	-0.0011461448157206178
phase2fw_vs_fx100wm	725	50	26	26	0	52.0	52.0	0.001338354079052806	-0.008699273690581322
phase2fw_vs_fx100wm	681	50	14	14	0	28.0	28.0	0.0014515742659568787	0.00529542937874794
phase2fw_vs_fx100wm	884	50	39	39	0	78.0	78.0	0.00146745634265244	-0.002365770284086466
phase2fw_vs_fx100wm	607	50	49	49	0	98.0	98.0	0.0015244458336383104	0.027309322729706764
phase2fw_vs_fx100wm	938	50	46	46	0	92.0	92.0	0.001535395858809352	0.015422096475958824
phase2fw_vs_fx100wm	984	50	48	48	0	96.0	96.0	0.0015937668504193425	0.005523281171917915
phase2fw_vs_fx100wm	887	50	34	34	0	68.0	68.0	0.0016203639097511768	0.025108594447374344
phase2fw_vs_fx100wm	666	50	42	42	0	84.0	84.0	0.0016559602227061987	-0.006709413602948189
phase2fw_vs_fx100wm	728	50	31	31	0	62.0	62.0	0.0018201465718448162	0.0025823498144745827
phase2fw_vs_fx100wm	46	50	24	24	0	48.0	48.0	0.0019091948634013534	0.012205333448946476
phase2fw_vs_fx100wm	60	50	26	26	0	52.0	52.0	0.001921097282320261	0.005041694734245539
phase2fw_vs_fx100wm	531	50	30	30	0	60.0	60.0	0.0019385289633646607	0.03314996883273125
phase2fw_vs_fx100wm	713	50	46	46	0	92.0	92.0	0.0019461330957710743	0.032042741775512695
phase2fw_vs_fx100wm	806	50	33	33	0	66.0	66.0	0.0019723926670849323	0.0491902157664299
phase2fw_vs_fx100wm	605	50	43	43	0	86.0	86.0	0.0019823145121335983	0.03468896821141243
phase2fw_vs_fx100wm	841	50	20	20	0	40.0	40.0	0.0020300152245908976	0.02597220428287983
phase2fw_vs_fx100wm	866	50	47	47	0	94.0	94.0	0.002031272742897272	-0.017760658636689186
phase2fw_vs_fx100wm	620	50	13	13	0	26.0	26.0	0.002139971824362874	0.012207575142383575
phase2fw_vs_fx100wm	945	50	46	46	0	92.0	92.0	0.002151923254132271	0.017654629424214363
phase2fw_vs_fx100wm	857	50	37	37	0	74.0	74.0	0.0021591270342469215	0.01612449623644352
phase2fw_vs_fx100wm	457	50	41	41	0	82.0	82.0	0.0021747031714767218	0.014846963807940483
phase2fw_vs_fx100wm	951	50	41	41	0	82.0	82.0	0.0022211840841919184	0.028750000521540642
