pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
phase2w_vs_phase2bm_fc2actmse	898	50	36	35	-1	72.0	70.0	-0.010896047577261925	-0.06407592445611954
phase2w_vs_phase2bm_fc2actmse	267	50	44	43	-1	88.0	86.0	-0.010794703848659992	-0.04237568750977516
phase2w_vs_phase2bm_fc2actmse	200	50	37	36	-1	74.0	72.0	-0.010383215732872486	-0.003341894131153822
phase2w_vs_phase2bm_fc2actmse	794	50	36	35	-1	72.0	70.0	-0.010349392890930176	-0.051537226885557175
phase2w_vs_phase2bm_fc2actmse	35	50	36	35	-1	72.0	70.0	-0.010328476317226887	-0.01885700225830078
phase2w_vs_phase2bm_fc2actmse	455	50	42	41	-1	84.0	82.0	-0.010319143533706665	-0.07805214822292328
phase2w_vs_phase2bm_fc2actmse	926	50	44	43	-1	88.0	86.0	-0.00992500688880682	-0.021074332296848297
phase2w_vs_phase2bm_fc2actmse	644	50	39	38	-1	78.0	76.0	-0.0094830971211195	-0.04591962695121765
phase2w_vs_phase2bm_fc2actmse	34	50	38	37	-1	76.0	74.0	-0.00940327625721693	-0.043890513479709625
phase2w_vs_phase2bm_fc2actmse	751	50	40	39	-1	80.0	78.0	-0.009078285656869411	-0.032248809933662415
phase2w_vs_phase2bm_fc2actmse	164	50	47	46	-1	94.0	92.0	-0.009004008024930954	-0.07032453268766403
phase2w_vs_phase2bm_fc2actmse	618	50	24	23	-1	48.0	46.0	-0.009002377279102802	0.05209999904036522
phase2w_vs_phase2bm_fc2actmse	885	50	16	15	-1	32.0	30.0	-0.008882841095328331	0.016352815553545952
phase2w_vs_phase2bm_fc2actmse	282	50	14	13	-1	28.0	26.0	-0.008399957790970802	-0.004831638187170029
phase2w_vs_phase2bm_fc2actmse	741	50	37	36	-1	74.0	72.0	-0.008336211554706097	-0.053265370428562164
phase2w_vs_phase2bm_fc2actmse	296	50	48	47	-1	96.0	94.0	-0.008243713527917862	-0.09108680486679077
phase2w_vs_phase2bm_fc2actmse	868	50	34	33	-1	68.0	66.0	-0.00800695363432169	-0.09005984663963318
phase2w_vs_phase2bm_fc2actmse	520	50	39	38	-1	78.0	76.0	-0.007957539521157742	-0.030778713524341583
phase2w_vs_phase2bm_fc2actmse	967	50	37	36	-1	74.0	72.0	-0.007807838264852762	-0.07579929381608963
phase2w_vs_phase2bm_fc2actmse	825	50	42	41	-1	84.0	82.0	-0.007614600006490946	0.025539016351103783
phase2w_vs_phase2bm_fc2actmse	128	50	47	46	-1	94.0	92.0	-0.007545518223196268	-0.023570965975522995
