group	numel	continuous_changed_fraction	pulse_changed_fraction	both_changed_fraction	same_final_bin_fraction	different_final_bin_fraction	continuous_only_fraction	pulse_only_fraction	same_given_continuous_changed	diff_given_both_changed	jaccard_changed_sets
features.7.1|attn_proj	589824	0.0568762868642807	0.0569051094353199	0.0377790667116642	0.0377790667116642	0.0	0.01909722201526165	0.01912604458630085	0.6642322711419799	0.0	0.4970777192825913
features.7.1|mlp_fc2	2359296	0.055845048278570175	0.05430009588599205	0.0369347482919693	0.0369347482919693	0.0	0.018910301849246025	0.0173653494566679	0.6613790747979204	0.0	0.5045013750180923
features.7.1|mlp_fc1	2359296	0.0439690500497818	0.043798234313726425	0.02922821044921875	0.02922821044921875	0.0	0.0147408377379179	0.014570023864507675	0.6647451222333616	0.0	0.49929404609335964
features.5.5|mlp_fc1	589824	0.0407545305788517	0.0404222272336483	0.02599419467151165	0.02599419467151165	0.0	0.014760334976017475	0.01442803256213665	0.6378234462101673	0.0	0.4710581295317684
features.5.5|attn_proj	147456	0.0362141914665699	0.0359632708132267	0.02343071810901165	0.02343071810901165	0.0	0.012783474288880825	0.012532551772892475	0.647003745318352	0.0	0.48066221480244853
features.7.1|attn_qkv	1769472	0.03249217942357063	0.0327928327023983	0.02190144918859005	0.02190144918859005	0.0	0.010590730234980583	0.010891384445130825	0.6740529446550945	0.0	0.504832868717922
features.5.5|attn_qkv	442368	0.031071415171027184	0.0311008021235466	0.019725657999515533	0.019725657999515533	0.0	0.01134575717151165	0.011375145055353642	0.6348490360130957	0.0	0.46471747350481973
features.5.5|mlp_fc2	589824	0.01892768032848835	0.01938374899327755	0.012552897445857525	0.012552897445857525	0.0	0.006374782882630825	0.0068308510817587376	0.6632031529917592	0.0	0.48732969130520637
