pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
best250_vs_phase2w	233	50	41	40	-1	82.0	80.0	-0.012796733528375626	-0.029485827311873436
best250_vs_phase2w	862	50	40	39	-1	80.0	78.0	-0.012560879811644554	-0.12720435857772827
best250_vs_phase2w	108	50	34	33	-1	68.0	66.0	-0.012428914196789265	-0.041992828249931335
best250_vs_phase2w	686	50	39	38	-1	78.0	76.0	-0.012313070707023144	-0.047796402126550674
best250_vs_phase2w	464	50	34	33	-1	68.0	66.0	-0.012146389111876488	-0.054051473736763
best250_vs_phase2w	167	50	20	19	-1	40.0	38.0	-0.011923231184482574	-0.03983769565820694
best250_vs_phase2w	414	50	22	21	-1	44.0	42.0	-0.010324380360543728	-0.03034115768969059
best250_vs_phase2w	738	50	43	42	-1	86.0	84.0	-0.010178748518228531	-0.03687627613544464
best250_vs_phase2w	953	50	49	48	-1	98.0	96.0	-0.00982129480689764	-0.04451986402273178
best250_vs_phase2w	410	50	46	45	-1	92.0	90.0	-0.009491341188549995	-0.00858572032302618
best250_vs_phase2w	553	50	42	41	-1	84.0	82.0	-0.009299998171627522	-0.0737202912569046
best250_vs_phase2w	635	50	33	32	-1	66.0	64.0	-0.0091991713270545	-0.06585678458213806
best250_vs_phase2w	465	50	32	31	-1	64.0	62.0	-0.008927207440137863	0.03472183272242546
best250_vs_phase2w	128	50	46	45	-1	92.0	90.0	-0.008806522935628891	-0.09706705063581467
best250_vs_phase2w	214	50	46	45	-1	92.0	90.0	-0.008719525299966335	-0.025795917958021164
best250_vs_phase2w	153	50	43	42	-1	86.0	84.0	-0.008699093945324421	-0.01797381415963173
best250_vs_phase2w	844	50	37	36	-1	74.0	72.0	-0.008629039861261845	0.019659461453557014
best250_vs_phase2w	750	50	37	36	-1	74.0	72.0	-0.007759347092360258	-0.031327370554208755
best250_vs_phase2w	728	50	29	28	-1	58.0	56.0	-0.007677727844566107	-0.07052703946828842
best250_vs_phase2w	945	50	46	45	-1	92.0	90.0	-0.007415926083922386	-0.018250074237585068
best250_vs_phase2w	789	50	40	39	-1	80.0	78.0	-0.007370261009782553	-0.019357556477189064
best250_vs_phase2w	653	50	37	36	-1	74.0	72.0	-0.007350344676524401	-0.04308909550309181
best250_vs_phase2w	149	50	45	44	-1	90.0	88.0	-0.0070494478568434715	-0.03877728432416916
best250_vs_phase2w	3	50	40	39	-1	80.0	78.0	-0.006915986072272062	0.036549102514982224
best250_vs_phase2w	866	50	46	45	-1	92.0	90.0	-0.006838666740804911	-0.056001950055360794
best250_vs_phase2w	908	50	33	32	-1	66.0	64.0	-0.006755582522600889	-0.0388721264898777
best250_vs_phase2w	542	50	36	35	-1	72.0	70.0	-0.006726528983563185	-0.047764357179403305
best250_vs_phase2w	563	50	45	44	-1	90.0	88.0	-0.0062132650054991245	-0.09415790438652039
best250_vs_phase2w	68	50	15	14	-1	30.0	28.0	-0.006064971908926964	-0.014689101837575436
best250_vs_phase2w	50	50	45	44	-1	90.0	88.0	-0.006014757324010134	0.07430821657180786
best250_vs_phase2w	341	50	31	30	-1	62.0	60.0	-0.005770659539848566	-0.04109805077314377
best250_vs_phase2w	584	50	29	28	-1	58.0	56.0	-0.005731694865971804	-0.034221526235342026
best250_vs_phase2w	903	50	46	45	-1	92.0	90.0	-0.005716134328395128	-0.07345336675643921
best250_vs_phase2w	819	50	41	40	-1	82.0	80.0	-0.005463536828756332	-0.034625548869371414
best250_vs_phase2w	755	50	47	46	-1	94.0	92.0	-0.005413529463112354	-0.018060579895973206
best250_vs_phase2w	134	50	38	37	-1	76.0	74.0	-0.005309438798576593	-0.031829480081796646
best250_vs_phase2w	30	50	42	41	-1	84.0	82.0	-0.005236119031906128	0.016682643443346024
best250_vs_phase2w	757	50	44	43	-1	88.0	86.0	-0.004724639002233744	0.01723381131887436
best250_vs_phase2w	690	50	47	46	-1	94.0	92.0	-0.004513073712587357	-0.007887306623160839
best250_vs_phase2w	366	50	43	42	-1	86.0	84.0	-0.004220730625092983	-0.03691596910357475
best250_vs_phase2w	656	50	29	28	-1	58.0	56.0	-0.004152217879891396	0.017215251922607422
best250_vs_phase2w	602	50	40	39	-1	80.0	78.0	-0.004037957638502121	-0.01972593367099762
best250_vs_phase2w	843	50	46	45	-1	92.0	90.0	-0.003877678420394659	0.011018257588148117
best250_vs_phase2w	417	50	46	45	-1	92.0	90.0	-0.0037504362408071756	-0.08397406339645386
best250_vs_phase2w	210	50	46	45	-1	92.0	90.0	-0.0037076217122375965	-0.09644560515880585
best250_vs_phase2w	63	50	44	43	-1	88.0	86.0	-0.0035460751969367266	-0.0357133187353611
best250_vs_phase2w	636	50	34	33	-1	68.0	66.0	-0.0035049349535256624	0.07839764654636383
best250_vs_phase2w	147	50	47	46	-1	94.0	92.0	-0.003460607258602977	0.011059112846851349
best250_vs_phase2w	861	50	38	37	-1	76.0	74.0	-0.0033453600481152534	0.03741582855582237
best250_vs_phase2w	970	50	31	30	-1	62.0	60.0	-0.003263378981500864	0.026642179116606712
best250_vs_phase2w	978	50	25	24	-1	50.0	48.0	-0.0031359184067696333	-0.040750570595264435
best250_vs_phase2w	125	50	46	45	-1	92.0	90.0	-0.0030933802481740713	-0.03603013977408409
best250_vs_phase2w	938	50	48	47	-1	96.0	94.0	-0.003092630999162793	-0.040706418454647064
best250_vs_phase2w	374	50	39	38	-1	78.0	76.0	-0.002982816658914089	-0.015350389294326305
best250_vs_phase2w	924	50	44	43	-1	88.0	86.0	-0.002960431622341275	-0.022016238421201706
best250_vs_phase2w	467	50	43	42	-1	86.0	84.0	-0.002705242019146681	-0.000422840123064816
best250_vs_phase2w	97	50	48	47	-1	96.0	94.0	-0.0024716819170862436	-0.026127567514777184
best250_vs_phase2w	810	50	20	19	-1	40.0	38.0	-0.002294736448675394	-0.004426746163517237
best250_vs_phase2w	132	50	47	46	-1	94.0	92.0	-0.002266655210405588	-0.02457868494093418
best250_vs_phase2w	347	50	46	45	-1	92.0	90.0	-0.0022376859560608864	0.04745686426758766
best250_vs_phase2w	489	50	41	40	-1	82.0	80.0	-0.0021666509564965963	-0.04595785215497017
best250_vs_phase2w	363	50	47	46	-1	94.0	92.0	-0.0020277260337024927	0.0014939403627067804
