group_type	key	cmp	params	numel	best_delta_l2	cmp_delta_l2	cmp_over_best	delta_cosine_to_best	extra_l2_vs_best	extra_over_best	best_top1	cmp_top1	delta_top1_vs_best
module_kind	features.7.1.attn.move_v_aft|move_v_shift	highdrift_damp	1	768	0.0021335077816445345	0.005425672196466974	2.543075888049866	0.5593672500317116	0.004586896868196483	2.1499321013307227	80.554	80.51	-0.04399999999999693
module_kind	features.7.1.attn.move_v_b4|move_v_shift	highdrift_damp	1	768	0.0021507884720600038	0.005445287938234474	2.5317635876200466	0.5633507822911946	0.004591460019480442	2.134779909380297	80.554	80.51	-0.04399999999999693
module_kind	features.7.1.attn.proj.move_b4|proj_move_shift	highdrift_damp	1	768	0.002146905385261161	0.005429602823223236	2.52903684554443	0.5617534274826363	0.004581838705764084	2.1341595848699804	80.554	80.51	-0.04399999999999693
module_kind	features.7.1.attn.proj.move_aft|proj_move_shift	highdrift_damp	1	768	0.0021555155675525256	0.0054319912780514575	2.520042703388683	0.5597652443512972	0.004587426446295087	2.1282270076591785	80.554	80.51	-0.04399999999999693
module_kind	features.5.5.attn.move_qkx_aft|move_shift	highdrift_damp	1	4608	0.008241599810442772	0.008418669560815616	1.0214848760490023	0.024973963342117766	0.011633246267577273	1.4115276809287696	80.554	80.51	-0.04399999999999693
module_kind	features.7.1.attn.quant_x_4_qkv|act_quant	highdrift_damp	2	1536	0.004209948039462341	0.008040084679956157	1.9097824022034648	0.7050865305229013	0.005885117329451432	1.3979073552183388	80.554	80.51	-0.04399999999999693
module_kind	features.7.1.attn.move_qkx_aft|move_shift	highdrift_damp	1	18432	0.011516435842867101	0.011449107024849295	0.99415367576076	0.028382269005453147	0.016007054284606692	1.3899312689282188	80.554	80.51	-0.04399999999999693
module_kind	features.5.5.attn.move_qkx_aft|move_shift	movev_damp	1	4608	0.008241599810442772	0.008267534164507394	1.0031467621167143	0.06474640814929777	0.011289497145614497	1.3698186523579794	80.554	80.51	-0.04399999999999693
module_kind	features.7.1.attn.move_qkx_aft|move_shift	movev_damp	1	18432	0.011516435842867101	0.011487901754922562	0.9975223160764437	0.06379807117222089	0.015739098830395596	1.3666640482475203	80.554	80.51	-0.04399999999999693
module_kind	features.5.5.attn.move_v_aft|move_v_shift	highdrift_damp	1	384	0.0022554327015030452	0.003882068800989297	1.7212079963202818	0.8135719049825622	0.0024311680810670962	1.077916481146584	80.554	80.51	-0.04399999999999693
