group_type	key	cmp	params	numel	best_delta_l2	cmp_delta_l2	cmp_over_best	delta_cosine_to_best	extra_l2_vs_best	extra_over_best	best_top1	cmp_top1	delta_top1_vs_best
stage_kind	features.7.1|move_v_shift	highdrift_damp	2	1536	0.003029479576739871	0.0076869421432580465	2.537380414206401	0.5613692491911044	0.006490079197510462	2.142308285337465	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|proj_move_shift	highdrift_damp	2	1536	0.003042277123344397	0.007680307029200125	2.52452578046444	0.560756238212337	0.0064836507714254215	2.1311834880768186	80.554	80.51	-0.04399999999999693
stage_kind	features.5.5|move_v_shift	highdrift_damp	2	768	0.0031897204000358175	0.005487548089883358	1.7203853007999503	0.8131491493390518	0.0034381957002700626	1.0778987713880674	80.554	80.51	-0.04399999999999693
stage_kind	features.5.5|proj_move_shift	highdrift_damp	2	768	0.003181005735703251	0.005482492080604365	1.7235090207695916	0.8156668743812531	0.003424371317011571	1.0765058605763618	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|softmax_quant	highdrift_damp	1	49	0.0013655666332935675	0.001213278205900521	0.8884796803904421	0.4027103134919027	0.00141505674782082	1.0362414497547359	80.554	80.51	-0.04399999999999693
stage_kind	features.5.5|norm	highdrift_damp	4	1536	0.0037769137132989917	0.0	0.0	0.0	0.0037769137132989917	1.0	80.554	80.51	-0.04399999999999693
stage_kind	features.5.5|mlp	highdrift_damp	4	1181568	0.11592101221086448	0.0	0.0	0.0	0.11592101221086448	1.0	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|norm	highdrift_damp	4	3072	0.004566212121663749	0.0	0.0	0.0	0.004566212121663749	1.0	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|mlp	highdrift_damp	4	4722432	0.22172768898517198	0.0	0.0	0.0	0.22172768898517198	1.0	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|act_quant	highdrift_damp	8	3592	0.008833901254677062	0.01130685595789727	1.2799391380915555	0.6978084028285674	0.008153741533010886	0.923005736417297	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|move_shift	highdrift_damp	6	44544	0.03137558990560038	0.03039772962010318	0.9688337242920599	0.6086623583344926	0.027339168956065703	0.8713515519013653	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|softmax_quant	movev_damp	1	49	0.0013655666332935675	0.001288279961249748	0.9434032216667347	0.6214463229703961	0.001156676525648212	0.8470304542067347	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|move_shift	movev_damp	6	44544	0.03137558990560038	0.03120636727156351	0.9946065513175685	0.6791085986985426	0.025068103989840346	0.7989683720772313	80.554	80.51	-0.04399999999999693
stage_kind	features.5.5|move_shift	highdrift_damp	6	13056	0.0193529420163586	0.01781389451371808	0.9204747525549553	0.665166737692792	0.015272100840889006	0.7891358754643014	80.554	80.51	-0.04399999999999693
stage_kind	features.5.5|move_shift	movev_damp	6	13056	0.0193529420163586	0.019190638011315132	0.9916134712279778	0.7785480343621692	0.012826487111137073	0.6627667824507063	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|attn_proj	highdrift_damp	2	590592	0.07672881178926015	0.0910330548904827	1.1864259691719186	0.846042420560309	0.04853200769816573	0.6325134791799139	80.554	80.51	-0.04399999999999693
stage_kind	features.5.5|act_quant	highdrift_damp	8	1866	0.007136611301534371	0.008387624200667266	1.1752950870203518	0.8463861129389733	0.004467151630555891	0.6259485688390306	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|act_quant	movev_damp	8	3592	0.008833901254677062	0.008719938940144568	0.9870994353177587	0.8126471225759436	0.005373729762357276	0.6083076556365381	80.554	80.51	-0.04399999999999693
stage_kind	features.5.5|softmax_quant	highdrift_damp	1	49	0.0011873610042804704	0.001046097427414689	0.8810272727868592	0.8176030301810877	0.0006877966303333771	0.5792649647864893	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|attn_qkv	highdrift_damp	4	1770240	0.14168402891988202	0.15394208891331668	1.086516879050399	0.8785172615981349	0.07382149060934848	0.5210290190935513	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|relpos	highdrift_damp	1	4056	0.007635788145889334	0.0077415878811345614	1.0138557714310321	0.8666501040936379	0.003971982430947182	0.5201797581413344	80.554	80.51	-0.04399999999999693
stage_kind	features.7.1|relpos	movev_damp	1	4056	0.007635788145889334	0.0074974970735853744	0.9818890899456911	0.8767599381322156	0.0037589803582363207	0.49228452733591593	80.554	80.51	-0.04399999999999693
stage_kind	features.5.5|softmax_quant	movev_damp	1	49	0.0011873610042804704	0.0012558986914431014	1.0577227034705963	0.8908220496381976	0.0005747267401142662	0.4840370687957242	80.554	80.51	-0.04399999999999693
stage_kind	features.5.5|attn_proj	highdrift_damp	2	147840	0.040706014356991234	0.04473862986568044	1.0990668227383604	0.921262755030004	0.017408141544203618	0.42765526960056655	80.554	80.51	-0.04399999999999693
